,Rank,Score,Location,teamName
詹姆斯-哈登,1,1.111305304,后卫,火箭
扬尼斯-阿德托昆博,2,1.106449938,前锋,雄鹿
斯蒂芬-库里,3,1.089580444,后卫,勇士
安东尼-戴维斯,4,1.017919572,前锋-中锋,湖人
凯里-欧文,5,0.942153649,后卫,篮网
安德鲁-德拉蒙德,6,1.078663123,中锋,活塞
本-西蒙斯,7,1.028356856,后卫-前锋,76人
乔尔-恩比德,8,1.003930458,中锋-前锋,76人
勒布朗-詹姆斯,9,0.997082712,前锋,湖人
卡尔-安东尼-唐斯,10,0.987680816,中锋-前锋,森林狼
布拉德利-比尔,11,0.984582671,后卫,奇才
科怀-莱昂纳德,12,0.974778661,前锋,快船
达米安-利拉德,13,0.973123077,后卫,开拓者
特雷-杨,14,0.972856729,后卫,老鹰
多曼塔斯-萨博尼斯,15,0.97222307,前锋-中锋,步行者
朱-霍勒迪,16,0.972057205,后卫,鹈鹕
尤素夫-努尔基奇,17,0.967406695,中锋,开拓者
杰森-塔图姆,18,0.9662693,前锋-后卫,凯尔特人
德文-布克,19,0.963946301,后卫,太阳
帕斯卡尔-西亚卡姆,20,0.963474823,前锋,猛龙
巴姆-阿德巴约,21,0.958127743,中锋-前锋,热火
吉米-巴特勒,22,0.954612932,前锋,热火
布兰登-英格拉姆,23,0.95458139,前锋,鹈鹕
凯尔-洛瑞,24,0.952527958,后卫,猛龙
扎克-拉文,25,0.952465598,后卫-前锋,公牛
德玛尔-德罗赞,26,0.94612015,后卫-前锋,马刺
卢卡-多西奇,27,1.069223521,前锋-后卫,独行侠
朱利叶斯-兰德尔,28,0.938348687,前锋-中锋,尼克斯
C.J.麦科勒姆,29,0.937689551,后卫,开拓者
德阿龙-福克斯,30,0.937200804,后卫,国王
杰伦-布朗,31,0.934538164,后卫-前锋,凯尔特人
约翰-科林斯,32,0.930323091,前锋-中锋,老鹰
凯利-乌布雷,33,0.927173789,前锋-后卫,太阳
多诺万米切尔,34,0.925766687,后卫,爵士
克里斯塔普斯-波尔津吉斯,35,0.925518259,前锋-中锋,独行侠
鲁迪-戈贝尔,36,0.924984881,中锋,爵士
亚历山大,37,0.924552472,后卫-前锋,雷霆
安德鲁-维金斯,38,0.919717012,前锋,森林狼
尼古拉-约基奇,39,0.917040631,中锋,掘金
克里斯-保罗,40,0.908813071,后卫,雷霆
托拜亚斯-哈里斯,41,0.901831993,前锋,76人
保罗-乔治,42,0.901690582,前锋,快船
丹吉洛-拉塞尔,43,0.89839482,后卫,森林狼
洛伦佐-波尔,44,0.895341901,后卫,鹈鹕
德安德烈-艾顿,45,0.893566204,中锋,太阳
克里斯-米德尔顿,46,0.891101698,前锋,雄鹿
哈桑-怀特塞德,47,0.887113344,中锋,开拓者
弗雷德-万维利特,48,0.886166266,后卫,猛龙
德文特-葛拉罕,49,0.883091017,后卫,黄蜂
斯宾瑟-丁威迪,50,0.880574732,后卫,篮网
尼科拉-武切维奇,51,0.875985671,中锋,魔术
巴迪-希尔德,52,0.867039316,后卫,国王
Ja Morant,53,0.864374976,后卫,灰熊
特里-罗齐尔,54,0.86352855,后卫,黄蜂
博扬-博格达诺维奇,55,0.852826579,前锋,爵士
科林-塞克斯顿,56,0.850755956,后卫,骑士
凯文-乐福,57,0.847659272,前锋-中锋,骑士
肯巴-沃克,58,0.846900633,后卫,凯尔特人
拉马库斯-阿尔德里奇,59,0.842282931,中锋-前锋,马刺
戈登-海沃德,60,0.825456964,前锋,凯尔特人
贾马尔-穆雷,61,0.820469524,后卫,掘金
里基-卢比奥,62,0.81609444,后卫,太阳
威尔-巴顿,63,0.802617232,后卫,掘金
伊万-福尼耶,64,0.79442356,后卫-前锋,魔术
达尼罗-加里纳利,65,0.793097712,前锋,雷霆
TJ-沃伦,66,0.790588824,前锋,步行者
马库斯-莫里斯,67,0.776876079,前锋,尼克斯
阿隆-戈登,68,0.72712766,前锋,魔术
克林特-卡佩拉,69,0.719669653,中锋,火箭
狄龙布鲁克斯,70,0.712747039,后卫-前锋,灰熊
马库斯-斯马特,71,0.695046992,后卫,凯尔特人
卡梅隆-安东尼,72,0.682675044,前锋,开拓者
Zion Williamson,73,0.679671287,前锋,鹈鹕
尤纳斯-瓦兰丘纳斯,74,0.661483199,中锋,灰熊
马尔科姆-布罗格登,75,0.66036386,后卫,步行者
埃里克-布莱德索,76,0.650682596,后卫,雄鹿
哈里森-巴恩斯,77,0.650213267,前锋,国王
蒙特雷斯-哈雷尔,78,0.646574189,前锋-中锋,快船
卡里斯-勒维尔,79,0.63726837,后卫,篮网
里乔恩-霍姆斯,80,0.636312156,前锋,国王
RJ Barrett,81,0.625706101,前锋-后卫,尼克斯
贾伦-杰克逊,82,0.624660832,前锋-中锋,灰熊
温德尔-卡特,83,0.61918881,中锋-前锋,公牛
丹尼斯-施罗德,84,0.618915809,后卫,雷霆
德章泰-穆雷,85,0.618175172,后卫,马刺
乔纳森-艾萨克,86,0.616558312,前锋,魔术
乔-哈里斯,87,0.615009247,后卫-前锋,篮网
特里斯坦-汤普森,88,0.614539225,中锋-前锋,骑士
贾斯蒂斯-温斯洛,89,0.612515774,前锋-后卫,灰熊
赛尔吉-伊巴卡,90,0.610692447,前锋,猛龙
拉塞尔-韦斯布鲁克,91,0.60850998,后卫,火箭
马文-巴格利三世,92,0.607408133,前锋,国王
罗伯特-科温顿,93,0.606346577,前锋,森林狼
埃尔弗里德-佩顿,94,0.597268195,后卫,尼克斯
米切尔-鲁滨逊,95,0.596646221,中锋-前锋,尼克斯
托里恩-普林斯,96,0.590349529,前锋,篮网
贾勒特艾伦,97,0.587152272,中锋,篮网
约什-理查德森,98,0.586748846,后卫,76人
P.J. Washington,99,0.585831092,前锋,黄蜂
约什-哈特,100,0.585542981,后卫,鹈鹕
迈尔斯-特纳,101,0.585250917,中锋-前锋,步行者
布雷克-格里芬,102,0.5846163,前锋,活塞
DeAndre Hunter,103,0.584433124,前锋-后卫,老鹰
迈尔斯-布里奇斯,104,0.581107455,前锋,黄蜂
内马尼亚-别利察,105,0.580719837,前锋,国王
贾巴里-帕克,106,0.580565207,前锋,国王
Rui Hachimura,107,0.580086553,前锋,奇才
马克尔-富尔茨,108,0.579316649,后卫,魔术
劳里-马尔卡宁,109,0.577875183,前锋-中锋,公牛
凯文-赫尔特,110,0.575351977,后卫-前锋,老鹰
路易斯-威廉姆斯,111,0.573423486,后卫,快船
斯蒂文-亚当斯,112,0.572755018,中锋,雷霆
诺曼-鲍威尔,113,0.57226055,后卫,猛龙
肯德里克-纳恩,114,0.571231235,后卫,热火
Brandon Clarke,115,0.570231165,前锋-后卫,灰熊
保罗-米尔萨普,116,0.566928739,前锋,掘金
OG-阿奴诺比,117,0.566851013,前锋,猛龙
杰里米-兰姆,118,0.56616429,后卫-前锋,步行者
托马斯-萨托兰斯基,119,0.566078405,后卫,公牛
艾尔-霍福德,120,0.564650968,中锋-前锋,76人
Eric Paschall,121,0.564099061,前锋,勇士
博格丹-博格达诺维奇,122,0.563945359,后卫,国王
戈兰-德拉季奇,123,0.562279359,后卫,热火
亚历克-伯克斯,124,0.562268101,后卫,76人
克里斯蒂安-伍德,125,0.562177114,前锋,活塞
小蒂姆-哈达威,126,0.561548593,后卫-前锋,独行侠
马基斯-克里斯,127,0.560474459,前锋,勇士
达迈·李,128,0.560359568,后卫-前锋,勇士
多特-迪万斯索,129,0.559870226,后卫,雄鹿
托马斯-布莱恩特,130,0.558361308,中锋-前锋,奇才
戴维斯-贝尔坦斯,131,0.557758284,前锋,奇才
德里克-怀特,132,0.556856919,后卫,马刺
贾伊-克劳德,133,0.555984025,前锋,灰熊
科迪-泽勒,134,0.554683418,前锋-中锋,黄蜂
麦克-康利,135,0.554569866,后卫,爵士
多利安-芬尼-史密斯,136,0.554332465,前锋,独行侠
维克托-奥拉迪波,137,0.552895102,后卫,步行者
特洛伊-布朗,138,0.549510567,后卫-前锋,奇才
德怀特-鲍威尔,139,0.549213879,前锋-中锋,独行侠
丹尼尔-泰斯,140,0.549155605,前锋-中锋,凯尔特人
丹纽尔-豪斯,141,0.54868116,前锋-后卫,火箭
德里克-罗斯,142,0.548429801,后卫,活塞
乔-因戈尔斯,143,0.547682573,前锋-后卫,爵士
