,Rank,Score,location
詹姆斯-哈登,1,1.1113053038629936,后卫
卢卡-多西奇,2,1.097311639552322,后卫
拉塞尔-韦斯布鲁克,3,1.089580444016189,后卫
本-西蒙斯,4,1.0618463920113421,后卫
杰森-塔图姆,5,0.9927950888051229,后卫
布拉德利-比尔,6,0.984582670802976,后卫
达米安-利拉德,7,0.9731230770188211,后卫
特雷-杨,8,0.9728567291053352,后卫
朱-霍勒迪,9,0.9720572048608372,后卫
德文-布克,10,0.9639463013397964,后卫
凯利-乌布雷,11,0.9623567137349842,后卫
扎克-拉文,12,0.9600115884793208,后卫
杰伦-布朗,13,0.9570812748048932,后卫
凯尔-洛瑞,14,0.9525279581205572,后卫
德玛尔-德罗赞,15,0.9487467583107462,后卫
亚历山大,16,0.9423558688531332,后卫
凯里-欧文,17,0.9421536489692306,后卫
C.J.麦科勒姆,18,0.937689550984812,后卫
德阿龙-福克斯,19,0.9372008040911225,后卫
多诺万米切尔,20,0.9257666869395692,后卫
克里斯-保罗,21,0.9088130714511313,后卫
丹吉洛-拉塞尔,22,0.8983948203467418,后卫
洛伦佐-波尔,23,0.8953419012094469,后卫
弗雷德-万维利特,24,0.8861662658792919,后卫
德文特-葛拉罕,25,0.8830910171191475,后卫
斯宾瑟-丁威迪,26,0.88057473158253,后卫
巴迪-希尔德,27,0.8670393163709423,后卫
Ja Morant,28,0.8643749756988489,后卫
特里-罗齐尔,29,0.8635285502442106,后卫
科林-塞克斯顿,30,0.8507559561655814,后卫
肯巴-沃克,31,0.8469006325574326,后卫
贾马尔-穆雷,32,0.8204695239540352,后卫
里基-卢比奥,33,0.8160944398042339,后卫
威尔-巴顿,34,0.8026172319639778,后卫
伊万-福尼耶,35,0.7967447805515018,后卫
狄龙布鲁克斯,36,0.7943817095069124,后卫
马库斯-斯马特,37,0.6950469921663656,后卫
马尔科姆-布罗格登,38,0.6603638599753443,后卫
乔-哈里斯,39,0.6598505198625905,后卫
埃里克-布莱德索,40,0.650682596307085,后卫
卡里斯-勒维尔,41,0.6372683695359849,后卫
RJ Barrett,42,0.6310003879073338,后卫
丹尼斯-施罗德,43,0.618915808775597,后卫
贾斯蒂斯-温斯洛,44,0.6185185164290715,后卫
德章泰-穆雷,45,0.618175172033398,后卫
斯蒂芬-库里,46,0.6085099795935376,后卫
DeAndre Hunter,47,0.6003731755729123,后卫
埃尔弗里德-佩顿,48,0.5972681946902997,后卫
Brandon Clarke,49,0.591424145244123,后卫
约什-理查德森,50,0.5867488464032915,后卫
约什-哈特,51,0.5855429805744148,后卫
凯文-赫尔特,52,0.5854171883541812,后卫
马克尔-富尔茨,53,0.5793166491227931,后卫
路易斯-威廉姆斯,54,0.5734234862516303,后卫
诺曼-鲍威尔,55,0.5722605500964183,后卫
杰里米-兰姆,56,0.5713793307051355,后卫
肯德里克-纳恩,57,0.5712312345848137,后卫
托马斯-萨托兰斯基,58,0.5660784046524948,后卫
博格丹-博格达诺维奇,59,0.5639453589414595,后卫
达迈·李,60,0.5631703518565416,后卫
戈兰-德拉季奇,61,0.5622793593866208,后卫
亚历克-伯克斯,62,0.5622681006059365,后卫
特洛伊-布朗,63,0.5618520241292635,后卫
丹纽尔-豪斯,64,0.5617098025176221,后卫
小蒂姆-哈达威,65,0.5607436955089284,后卫
多特-迪万斯索,66,0.5598702257814492,后卫
德里克-怀特,67,0.5568569193142374,后卫
乔-因戈尔斯,68,0.5566533629572354,后卫
Jarrett Culver,69,0.5563924969461963,后卫
麦克-康利,70,0.5545698658167442,后卫
维克托-奥拉迪波,71,0.5528951024055422,后卫
Cameron Reddish,72,0.5512981269131131,后卫
德里克-罗斯,73,0.5484298011491034,后卫
鲁迪-盖伊,74,0.5446612395820473,后卫
卢克-肯纳德,75,0.5442054072271638,后卫
加里-哈里斯,76,0.5389457435670182,后卫
杰夫-蒂格,77,0.5380180359146067,后卫
乔丹-麦克雷,78,0.53668674213427,后卫
伊斯-史密斯,79,0.5360491556497404,后卫
加雷特-坦普尔,80,0.5354047728605554,后卫
卡梅伦-佩恩,81,0.5316729833871594,后卫
沙巴兹-内皮尔,82,0.5315658987516143,后卫
Coby White,83,0.53084398163542,后卫
Tyler Herro,84,0.5299830899306426,后卫
特伦斯-罗斯,85,0.5293449430619549,后卫
迪昂-维特斯,86,0.5284565815530388,后卫
Kevin Porter Jr.,87,0.5283500019350617,后卫
罗德尼-胡德,88,0.5272885444541324,后卫
Darius Garland,89,0.5261652850935052,后卫
乔丹-克拉克森,90,0.5258233322799439,后卫
JJ-雷迪克,91,0.5236180627579471,后卫
埃里克-戈登,92,0.5184028252721629,后卫
雷吉-杰克逊,93,0.5127776444593939,后卫
麦克-穆尔德,94,0.5094652480100591,后卫
肯塔维厄斯 卡德维尔-波普,95,0.5053754485005715,后卫
塞斯-库里,96,0.5052289789208694,后卫
Keldon Johnson,97,0.5013263331547976,后卫
乔治-希尔,98,0.5012704427870337,后卫
艾伦-霍利迪,99,0.5000566298734239,后卫
以赛亚-托马斯,100,0.4988137401530756,后卫
谢克-米尔顿,101,0.49815632642569424,后卫
马利克-莫克,102,0.4953420726940948,后卫
本-麦克勒莫,103,0.4896743538575789,后卫
布林-福布斯,104,0.4895002161923674,后卫
D.J.奥古斯丁,105,0.48944141920106915,后卫
兰德里-沙梅特,106,0.4880253642959749,后卫
马利克-比斯利,107,0.4873381550687193,后卫
兰斯顿-加洛维,108,0.4841038240486225,后卫
福尔康-科尔克马兹,109,0.48133746001804817,后卫
帕蒂-米尔斯,110,0.4723191914352288,后卫
