,Rank,Score,location
扬尼斯-阿德托昆博,1,1.106449938498108,前锋
卢卡-多西奇,2,1.0411354016666259,前锋
安东尼-戴维斯,3,1.0402478851141015,前锋
乔尔-恩比德,4,1.0297560958573715,前锋
卡尔-安东尼-唐斯,5,1.0208315734575057,前锋
多曼塔斯-萨博尼斯,6,0.998445255479421,前锋
勒布朗-詹姆斯,7,0.9970827124203457,前锋
本-西蒙斯,8,0.9948673198908549,前锋
巴姆-阿德巴约,9,0.991087547907968,前锋
科怀-莱昂纳德,10,0.9747786605538309,前锋
朱利叶斯-兰德尔,11,0.9681500315131779,前锋
帕斯卡尔-西亚卡姆,12,0.9634748227670452,前锋
克里斯塔普斯-波尔津吉斯,13,0.962832151605566,前锋
约翰-科林斯,14,0.9564501524211848,前锋
吉米-巴特勒,15,0.9546129323212997,前锋
布兰登-英格拉姆,16,0.9545813902534857,前锋
扎克-拉文,17,0.9449196075741013,前锋
德玛尔-德罗赞,18,0.9434935415559605,前锋
杰森-塔图姆,19,0.9397435105530737,前锋
安德鲁-维金斯,20,0.9197170120111979,前锋
杰伦-布朗,21,0.9119950529196255,前锋
亚历山大,22,0.9067490756242484,前锋
托拜亚斯-哈里斯,23,0.9018319931641327,前锋
保罗-乔治,24,0.9016905819178402,前锋
凯文-乐福,25,0.8966951816630504,前锋
凯利-乌布雷,26,0.8919908635683658,前锋
克里斯-米德尔顿,27,0.8911016978781328,前锋
拉马库斯-阿尔德里奇,28,0.8706817117990372,前锋
博扬-博格达诺维奇,29,0.8528265790394784,前锋
戈登-海沃德,30,0.8254569643930489,前锋
达尼罗-加里纳利,31,0.7930977124427346,前锋
伊万-福尼耶,32,0.7921023393530271,前锋
TJ-沃伦,33,0.7905888244636189,前锋
马库斯-莫里斯,34,0.7768760785863483,前锋
阿隆-戈登,35,0.7271276598580204,前锋
卡梅隆-安东尼,36,0.6826750441663975,前锋
Zion Williamson,37,0.6796712871176462,前锋
贾伦-杰克逊,38,0.6538332089417243,前锋
哈里森-巴恩斯,39,0.6502132667206271,前锋
蒙特雷斯-哈雷尔,40,0.6485649978787809,前锋
里乔恩-霍姆斯,41,0.6363121559632011,前锋
狄龙布鲁克斯,42,0.6311123683403661,前锋
温德尔-卡特,43,0.6300336029706357,前锋
特里斯坦-汤普森,44,0.6239331086093242,前锋
RJ Barrett,45,0.6204118147126277,前锋
乔纳森-艾萨克,46,0.6165583117841357,前锋
米切尔-鲁滨逊,47,0.6152864980654549,前锋
劳里-马尔卡宁,48,0.6141898240446197,前锋
迈尔斯-特纳,49,0.6124654115739209,前锋
