,Rank,Score,location
安德鲁-德拉蒙德,1,1.078663122553955,中锋
安东尼-戴维斯,2,0.995591259813134,中锋
乔尔-恩比德,3,0.9781048209463544,中锋
尤素夫-努尔基奇,4,0.96740669518432,中锋
卡尔-安东尼-唐斯,5,0.9545300587512693,中锋
多曼塔斯-萨博尼斯,6,0.9460008854018799,中锋
巴姆-阿德巴约,7,0.9251679372823713,中锋
鲁迪-戈贝尔,8,0.924984881489383,中锋
尼古拉-约基奇,9,0.9170406313131787,中锋
朱利叶斯-兰德尔,10,0.9085473430117207,中锋
约翰-科林斯,11,0.9041960293757275,中锋
德安德烈-艾顿,12,0.8935662039935475,中锋
克里斯塔普斯-波尔津吉斯,13,0.8882043657127903,中锋
哈桑-怀特塞德,14,0.887113343653886,中锋
尼科拉-武切维奇,15,0.8759856708973347,中锋
拉马库斯-阿尔德里奇,16,0.8138841498194171,中锋
凯文-乐福,17,0.7986233615373247,中锋
克林特-卡佩拉,18,0.7196696532664677,中锋
尤纳斯-瓦兰丘纳斯,19,0.6614831993931012,中锋
蒙特雷斯-哈雷尔,20,0.6445833799373382,中锋
温德尔-卡特,21,0.6083440168028662,中锋
特里斯坦-汤普森,22,0.6051453411195457,中锋
贾伦-杰克逊,23,0.5954884547243336,中锋
贾勒特艾伦,24,0.587152272215436,中锋
米切尔-鲁滨逊,25,0.5780059437554679,中锋
斯蒂文-亚当斯,26,0.5727550182274794,中锋
迈尔斯-特纳,27,0.5580364221588924,中锋
劳里-马尔卡宁,28,0.5415605413890523,中锋
艾尔-霍福德,29,0.5346916277223366,中锋
科迪-泽勒,30,0.5327613632052868,中锋
托马斯-布莱恩特,31,0.5322902415291713,中锋
德怀特-鲍威尔,32,0.526982767784805,中锋
丹尼尔-泰斯,33,0.516150351985004,中锋
布鲁克-洛佩兹,34,0.5119266255672484,中锋
小拉里-南斯,35,0.5110840807564551,中锋
阿隆-贝恩斯,36,0.4885234251699024,中锋
达里奥-萨里奇,37,0.4839682917750567,中锋
弗兰克-卡明斯基,38,0.45180634557752447,中锋
