teamName,Score,Rank,teamName
勇士,0.828767326,1,勇士
凯尔特人,0.80289461,2,凯尔特人
开拓者,0.768468804,3,开拓者
热火,0.763626817,4,热火
猛龙,0.758662176,5,猛龙
火箭,0.746218957,6,火箭
篮网,0.72194232,7,篮网
独行侠,0.721852168,8,独行侠
湖人,0.713224656,9,湖人
快船,0.706849708,10,快船
雄鹿,0.703550254,11,雄鹿
掘金,0.686071326,12,掘金
雷霆,0.68553798,13,雷霆
76人,0.684346572,14,76人
爵士,0.68298809,15,爵士
太阳,0.682878321,16,太阳
国王,0.67792551,17,国王
老鹰,0.674356559,18,老鹰
尼克斯,0.671092035,19,尼克斯
森林狼,0.669155513,20,森林狼
黄蜂,0.660597267,21,黄蜂
魔术,0.659051575,22,魔术
灰熊,0.641306699,23,灰熊
步行者,0.637169928,24,步行者
骑士,0.634025788,25,骑士
活塞,0.633699261,26,活塞
马刺,0.619060943,27,马刺
公牛,0.616967222,28,公牛
奇才,0.592601658,29,奇才
鹈鹕,0.560581663,30,鹈鹕
