,Num,Mean,Median,Min,Max,Std,Skew,Kurt,Var
assistsPG,110,3.89,3.40,0.80,9.30,2.15,0.59,-0.69,4.62
blocksPG,110,0.32,0.30,0.00,0.90,0.20,1.02,0.71,0.04
defensiveReboundsPG,110,3.32,3.20,1.30,8.10,1.19,0.92,1.58,1.41
fgAttemptedPG,110,12.37,11.58,5.24,22.86,3.97,0.78,-0.00,15.78
fgPCT,110,0.44,0.40,0.40,0.60,0.05,1.02,-0.00,0.00
foulsPG,110,2.14,2.10,1.00,3.80,0.53,0.74,0.64,0.29
ftAttemptedPG,110,3.16,2.62,0.33,11.77,2.02,1.64,3.23,4.08
ftMadePG,110,1.90,1.93,0.04,4.40,0.83,0.31,0.23,0.69
ftPCT,110,0.80,0.82,0.00,1.00,0.11,-4.10,26.65,0.01
games,110,55.77,60.00,3.00,73.00,16.19,-1.74,2.52,261.99
gamesStarted,110,37.45,38.50,0.00,73.00,23.69,-0.20,-1.42,561.09
minutes,110,1630.27,1717.50,42.00,2557.00,550.79,-1.01,0.80,303366.42
minutesPG,110,28.92,29.00,14.00,37.50,4.64,-0.38,-0.12,21.49
offensiveReboundsPG,110,0.67,0.60,0.00,2.00,0.35,1.13,1.75,0.12
points,110,871.46,777.00,28.00,2335.00,427.39,0.70,0.87,182658.67
pointsPG,110,15.41,14.35,9.10,34.30,5.61,1.18,0.99,31.47
reboundsPG,110,3.99,3.80,1.60,9.40,1.43,0.98,1.43,2.04
stealsPG,110,0.95,0.90,0.00,2.10,0.37,0.52,0.41,0.14
threesMadePG,110,1.90,1.93,0.04,4.40,0.83,0.31,0.23,0.69
threesPCT,110,0.36,0.36,0.20,0.59,0.05,0.48,3.63,0.00
turnoversPG,110,1.96,1.85,0.60,4.80,0.90,0.91,0.72,0.81
