,Num,Mean,Median,Min,Max,Std,Skew,Kurt,Var
assistsPG,38,2.39,1.90,0.60,7.00,1.35,1.57,2.62,1.81
blocksPG,38,1.22,1.15,0.20,2.90,0.69,0.39,-0.59,0.47
defensiveReboundsPG,38,6.56,6.35,3.60,11.20,2.09,0.28,-0.92,4.39
fgAttemptedPG,38,11.35,10.57,5.59,17.77,3.53,0.18,-1.14,12.43
fgPCT,38,0.52,0.50,0.40,0.70,0.08,0.25,-0.17,0.01
foulsPG,38,2.77,2.60,1.60,4.90,0.71,0.72,0.90,0.50
ftAttemptedPG,38,3.69,3.23,1.19,8.53,1.74,1.15,1.34,3.02
ftMadePG,38,0.90,0.90,0.00,3.26,0.88,0.90,0.17,0.77
ftPCT,38,0.73,0.74,0.53,0.89,0.09,-0.43,-0.53,0.01
games,38,55.26,57.50,8.00,73.00,13.43,-1.30,2.55,180.47
gamesStarted,38,47.87,52.00,2.00,73.00,19.61,-0.96,0.04,384.71
minutes,38,1618.87,1667.50,253.00,2417.00,452.81,-0.66,1.02,205038.82
minutesPG,38,29.32,29.90,19.90,34.80,3.93,-0.54,-0.63,15.46
offensiveReboundsPG,38,2.47,2.40,0.90,4.60,0.96,0.23,-0.48,0.93
points,38,846.08,805.50,141.00,1618.00,314.76,0.20,-0.01,99074.78
pointsPG,38,15.45,15.00,9.20,26.50,4.67,0.58,-0.37,21.79
reboundsPG,38,9.02,9.45,4.50,15.80,2.79,0.32,-0.40,7.77
stealsPG,38,0.80,0.80,0.20,2.00,0.32,1.63,4.66,0.10
threesMadePG,38,0.90,0.90,0.00,3.26,0.88,0.90,0.17,0.77
threesPCT,38,0.28,0.33,0.00,0.57,0.14,-0.90,0.33,0.02
turnoversPG,38,1.79,1.65,0.60,3.60,0.75,0.71,-0.34,0.57
