,cnName,img
0,詹姆斯-哈登,https://nba.sports.qq.com/media/img/players/head/260x190/201935.png
1,布拉德利-比尔,https://nba.sports.qq.com/media/img/players/head/260x190/203078.png
2,达米安-利拉德,https://nba.sports.qq.com/media/img/players/head/260x190/203081.png
3,特雷-杨,https://nba.sports.qq.com/media/img/players/head/260x190/1629027.png
4,扬尼斯-阿德托昆博,https://nba.sports.qq.com/media/img/players/head/260x190/203507.png
5,卢卡-多西奇,https://nba.sports.qq.com/media/img/players/head/260x190/1629029.png
6,凯里-欧文,https://nba.sports.qq.com/media/img/players/head/260x190/202681.png
7,拉塞尔-韦斯布鲁克,https://nba.sports.qq.com/media/img/players/head/260x190/201566.png
8,科怀-莱昂纳德,https://nba.sports.qq.com/media/img/players/head/260x190/202695.png
9,德文-布克,https://nba.sports.qq.com/media/img/players/head/260x190/1626164.png
10,卡尔-安东尼-唐斯,https://nba.sports.qq.com/media/img/players/head/260x190/1626157.png
11,安东尼-戴维斯,https://nba.sports.qq.com/media/img/players/head/260x190/203076.png
12,扎克-拉文,https://nba.sports.qq.com/media/img/players/head/260x190/203897.png
13,勒布朗-詹姆斯,https://nba.sports.qq.com/media/img/players/head/260x190/2544.png
14,多诺万米切尔,https://nba.sports.qq.com/media/img/players/head/260x190/1628378.png
15,布兰登-英格拉姆,https://nba.sports.qq.com/media/img/players/head/260x190/1627742.png
16,杰森-塔图姆,https://nba.sports.qq.com/media/img/players/head/260x190/1628369.png
17,丹吉洛-拉塞尔,https://nba.sports.qq.com/media/img/players/head/260x190/1626156.png
18,乔尔-恩比德,http://mat1.gtimg.com/sports/NBAImages/PlayerImages/260x190203954.png
19,帕斯卡尔-西亚卡姆,https://nba.sports.qq.com/media/img/players/head/260x190/1627783.png
20,Zion Williamson,https://nba.sports.qq.com/media/img/players/head/260x190/1629627.png
21,安德鲁-维金斯,https://nba.sports.qq.com/media/img/players/head/260x190/203952.png
22,C.J.麦科勒姆,https://nba.sports.qq.com/media/img/players/head/260x190/203468.png
23,德玛尔-德罗赞,https://nba.sports.qq.com/media/img/players/head/260x190/201942.png
24,约翰-科林斯,https://nba.sports.qq.com/media/img/players/head/260x190/1628381.png
25,保罗-乔治,https://nba.sports.qq.com/media/img/players/head/260x190/202331.png
26,德阿龙-福克斯,https://nba.sports.qq.com/media/img/players/head/260x190/1628368.png
27,克里斯-米德尔顿,https://nba.sports.qq.com/media/img/players/head/260x190/203114.png
28,科林-塞克斯顿,https://nba.sports.qq.com/media/img/players/head/260x190/1629012.png
29,斯蒂芬-库里,https://nba.sports.qq.com/media/img/players/head/260x190/201939.png
30,斯宾瑟-丁威迪,https://nba.sports.qq.com/media/img/players/head/230x185/203915.png
31,克里斯塔普斯-波尔津吉斯,https://nba.sports.qq.com/media/img/players/head/260x190/204001.png
32,肯巴-沃克,https://nba.sports.qq.com/media/img/players/head/260x190/202689.png
33,杰伦-布朗,https://nba.sports.qq.com/media/img/players/head/260x190/1627759.png
34,博扬-博格达诺维奇,https://nba.sports.qq.com/media/img/players/head/260x190/202711.png
35,尼古拉-约基奇,https://nba.sports.qq.com/media/img/players/head/260x190/203999.png
36,吉米-巴特勒,https://nba.sports.qq.com/media/img/players/head/260x190/202710.png
37,TJ-沃伦,https://nba.sports.qq.com/media/img/players/head/260x190/203933.png
38,马库斯-莫里斯,https://nba.sports.qq.com/media/img/players/head/260x190/202694.png
39,尼科拉-武切维奇,https://nba.sports.qq.com/media/img/players/head/260x190/202696.png
40,托拜亚斯-哈里斯,https://nba.sports.qq.com/media/img/players/head/260x190/202699.png
41,朱利叶斯-兰德尔,https://nba.sports.qq.com/media/img/players/head/260x190/203944.png
42,凯尔-洛瑞,https://nba.sports.qq.com/media/img/players/head/260x190/200768.png
43,巴迪-希尔德,https://nba.sports.qq.com/media/img/players/head/260x190/1627741.png
44,朱-霍勒迪,https://nba.sports.qq.com/media/img/players/head/260x190/201950.png
45,亚历山大,https://nba.sports.qq.com/media/img/players/head/260x190/1628983.png
46,丹尼斯-施罗德,https://nba.sports.qq.com/media/img/players/head/260x190/203471.png
47,拉马库斯-阿尔德里奇,https://nba.sports.qq.com/media/img/players/head/260x190/200746.png
48,卡里斯-勒维尔,https://nba.sports.qq.com/media/img/players/head/260x190/1627747.png
49,凯利-乌布雷,https://nba.sports.qq.com/media/img/players/head/260x190/1626162.png
50,达尼罗-加里纳利,https://nba.sports.qq.com/media/img/players/head/260x190/201568.png
51,蒙特雷斯-哈雷尔,https://nba.sports.qq.com/media/img/players/head/260x190/1626149.png
52,多曼塔斯-萨博尼斯,https://nba.sports.qq.com/media/img/players/head/260x190/1627734.png
53,贾马尔-穆雷,https://nba.sports.qq.com/media/img/players/head/260x190/1627750.png
54,伊万-福尼耶,https://nba.sports.qq.com/media/img/players/head/260x190/203095.png
55,德文特-葛拉罕,https://nba.sports.qq.com/media/img/players/head/260x190/1628984.png
56,德安德烈-艾顿,https://nba.sports.qq.com/media/img/players/head/260x190/1629028.png
57,路易斯-威廉姆斯,https://nba.sports.qq.com/media/img/players/head/260x190/101150.png
58,德里克-罗斯,https://nba.sports.qq.com/media/img/players/head/260x190/201565.png
59,特里-罗齐尔,https://nba.sports.qq.com/media/img/players/head/260x190/1626179.png
60,Ja Morant,https://nba.sports.qq.com/media/img/players/head/260x190/1629630.png
61,安德鲁-德拉蒙德,https://nba.sports.qq.com/media/img/players/head/260x190/203083.png
62,克里斯-保罗,https://nba.sports.qq.com/media/img/players/head/260x190/101108.png
63,尤素夫-努尔基奇,https://nba.sports.qq.com/media/img/players/head/260x190/203994.png
64,凯文-乐福,https://nba.sports.qq.com/media/img/players/head/260x190/201567.png
65,弗雷德-万维利特,https://nba.sports.qq.com/media/img/players/head/260x190/1627832.png
66,戈登-海沃德,https://nba.sports.qq.com/media/img/players/head/260x190/202330.png
67,贾伦-杰克逊,https://nba.sports.qq.com/media/img/players/head/260x190/1628991.png
68,马尔科姆-布罗格登,https://nba.sports.qq.com/media/img/players/head/260x190/1627763.png
69,本-西蒙斯,https://nba.sports.qq.com/media/img/players/head/260x190/1627732.png
70,狄龙布鲁克斯,https://nba.sports.qq.com/media/img/players/head/260x190/1628415.png
71,戈兰-德拉季奇,http://mat1.gtimg.com/sports/NBAImages/PlayerImages/260x190201609.png
72,诺曼-鲍威尔,https://nba.sports.qq.com/media/img/players/head/260x190/1626181.png
73,巴姆-阿德巴约,https://nba.sports.qq.com/media/img/players/head/260x190/1628389.png
74,小蒂姆-哈达威,https://nba.sports.qq.com/media/img/players/head/260x190/203501.png
75,卢克-肯纳德,https://nba.sports.qq.com/media/img/players/head/260x190/1628379.png
76,布雷克-格里芬,https://nba.sports.qq.com/media/img/players/head/260x190/201933.png
77,哈桑-怀特塞德,https://nba.sports.qq.com/media/img/players/head/260x190/202355.png
78,卡梅隆-安东尼,https://nba.sports.qq.com/media/img/players/head/260x190/2546.png
79,赛尔吉-伊巴卡,https://nba.sports.qq.com/media/img/players/head/260x190/201586.png
80,戴维斯-贝尔坦斯,http://mat1.gtimg.com/sports/NBAImages/PlayerImages/260x190202722.png
81,肯德里克-纳恩,https://nba.sports.qq.com/media/img/players/head/260x190/1629134.png
82,JJ-雷迪克,https://nba.sports.qq.com/media/img/players/head/260x190/200755.png
