,nickname,chname,enname,area,famous,creattime,img
0,马刺,圣安东尼奥马刺,San Antonio Spurs,美国德克萨斯州圣安东尼奥,乔治·格文，大卫·罗宾逊，蒂姆·邓肯，托尼·帕克，马努·吉诺比利,1967,https://img1.gtimg.com/sports/pics/hv1/231/116/2220/144385311.png
1,雄鹿,密尔沃基雄鹿队,Milwaukee Bucks,美国，威斯康星州，密尔沃基市,卡里姆·阿布杜尔·贾巴尔;迈克尔·里德,1968,https://mat1.gtimg.com/sports/nba/logo/1602/15.png
2,国王,萨克拉门托国王队,Sacramento Kings,"美国,加利福尼亚州,萨克拉门托市",阿奇巴尔德，克里斯·韦伯，泰瑞克·埃文斯，佩贾·斯托贾科维奇,1948,https://mat1.gtimg.com/sports/nba/logo/1602/23.png
3,篮网,布鲁克林篮网队,Brooklyn Nets,美国纽约布鲁克林区,德隆·威廉姆斯、贾森·基德、布鲁克·洛佩兹，文斯·卡特,1967,https://mat1.gtimg.com/sports/nba/logo/1602/17.png
4,老鹰,亚特兰大老鹰队,Atlanta Hawks,"美国,佐治亚州,亚特兰大",鲍勃·佩蒂特，多米尼克·威尔金斯，兰尼·威尔肯斯,1949,https://mat1.gtimg.com/sports/nba/logo/1602/1.png
5,掘金,丹佛掘金队,Denver Nuggets,"美国,科罗拉多州,丹佛市",卡梅隆·安东尼，阿伦·艾弗森,1967,http://mat1.gtimg.com/sports/nba/logo/1602/20187.png
6,步行者,印第安纳步行者队,Indiana Pacers,印第安纳州印第安纳波利斯,雷吉·米勒；保罗·乔治；丹尼·格兰杰；大卫·韦斯特,1967,https://img1.gtimg.com/sports/pics/hv1/43/116/2220/144385123.png
7,骑士,克利夫兰骑士队,Cleveland Cavaliers,美国，俄亥俄州，克利夫兰市,马克·普莱斯、伊尔戈斯卡斯、勒布朗·詹姆斯、凯里·欧文,1970,https://img1.gtimg.com/sports/pics/hv1/131/116/2220/144385211.png
8,爵士,犹他爵士队,Utah Jazz,"美国,犹他州,盐湖城",卡尔·马龙，约翰·斯托克顿，卡洛斯·布泽尔，德隆·威廉姆斯,1974,https://mat1.gtimg.com/sports/nba/logo/1602/26.png
9,灰熊,孟菲斯灰熊队,Memphis Grizzlies,美国，田纳西州，孟菲斯市,马克·加索尔、迈克·康利、 扎克·兰多夫,1995,https://mat1.gtimg.com/sports/nba/logo/1602/29.png
10,快船,洛杉矶快船队,Los Angeles Clippers,"美国,加利福尼亚州,洛杉矶市",鲍勃·迈卡杜,1970,https://mat1.gtimg.com/sports/nba/logo/1602/1201.png
11,黄蜂,夏洛特黄蜂队,Charlotte Hornets,美国，北卡罗来纳州，夏洛特,杰拉德·华莱士、艾尔·杰弗森、肯巴·沃克,2004,https://mat1.gtimg.com/sports/nba/logo/1602/30.png
12,76人,费城76人队,Philadelphia 76ers,"美国,宾夕法尼亚州,费城市",威尔特·张伯伦，朱利叶斯·欧文，摩西·马龙，阿伦·艾弗森,1949,https://mat1.gtimg.com/sports/nba/logo/1602/20.png
13,魔术,奥兰多魔术队,Orlando Magic,"美国,佛罗里达州,奥兰多市","特雷西·麦克格雷迪，德怀特·霍华德,沙奎尔·奥尼尔",1989,https://mat1.gtimg.com/sports/nba/logo/1602/19.png
14,森林狼,明尼苏达森林狼队,Minnesota Timberwolves,"美国,明尼苏达州,明尼阿波利斯市",凯文·加内特、史蒂芬·马布里、拉特里尔·斯普雷维尔、凯文·乐福,1989,https://mat1.gtimg.com/sports/nba/logo/new/16.png
15,热火,迈阿密热火队,Miami Heat,"美国,佛罗里达州,迈阿密",德怀恩·韦德，阿朗佐·莫宁，乌杜尼斯·哈斯勒姆,1988,https://img1.gtimg.com/sports/pics/hv1/212/15/2292/149041337.png
16,湖人,洛杉矶湖人队,Los Angeles Lakers,美国加利福尼亚州洛杉矶,乔治·麦肯、埃尔金·贝勒、杰里·韦斯特、威尔特·张伯伦、卡里姆·阿布杜尔-贾巴尔、埃尔文·约翰逊、詹姆斯·沃西、沙奎尔·奥尼尔、科比·布莱恩特、保罗·加索尔、勒布朗·詹姆斯、安东尼·戴维斯,1947,https://mat1.gtimg.com/sports/nba/logo/1602/13.png
17,凯尔特人,波士顿凯尔特人队,Boston Celtics,美国，马萨诸塞州，波士顿市,奥尔巴赫、比尔·拉塞尔、拉里·伯德、鲍勃·库西,1946,https://mat1.gtimg.com/sports/nba/logo/1602/2.png
18,奇才,华盛顿奇才队,Washington Wizards,"美国,华盛顿特区",吉尔伯特·阿里纳斯、约翰·沃尔,1961,https://mat1.gtimg.com/sports/nba/logo/1602/27.png
19,尼克斯,纽约尼克斯队,New York Knicks,美国纽约州纽约市,卡梅隆·安东尼，帕特里克·尤因，威利斯·里德，沃尔特·弗雷泽,1946,https://mat1.gtimg.com/sports/nba/logo/1602/18.png
20,太阳,菲尼克斯太阳队,Phoenix Suns,美国?亚利桑那州?菲尼克斯市,查尔斯·巴克利，保罗·韦斯特法尔，史蒂夫·纳什,1968,https://mat1.gtimg.com/sports/nba/logo/1602/21.png
21,鹈鹕,新奥尔良鹈鹕队,New Orleans Pelicans,美国，路易斯安那州，新奥尔良,安东尼·戴维斯,1988,https://mat1.gtimg.com/sports/nba/logo/1602/3.png
22,公牛,芝加哥公牛队,Chicago Bulls,美国伊利诺斯州芝加哥市,迈克尔·乔丹，德里克.罗斯,1966,https://mat1.gtimg.com/sports/nba/logo/1602/4.png
23,独行侠,达拉斯独行侠队,Dallas Mavericks,美国德克萨斯州达拉斯,德克·诺维茨基，贾森·基德，史蒂夫·纳什,1980,https://mat1.gtimg.com/sports/nba/logo/1602/6.png
24,活塞,底特律活塞队,Detroit Pistons,美国，密歇根州，底特律市,伊赛亚·托马斯，乔·杜马斯，昌西·比卢普斯，本·华莱士,1948,https://mat1.gtimg.com/sports/nba/logo/new/8.png
25,开拓者,波特兰开拓者队,Portland Trail Blazers,"美国,俄勒冈州,波特兰市",比尔·沃顿，克莱德·德雷克斯勒，布兰顿·罗伊，阿尔德里奇,1970,https://mat1.gtimg.com/sports/nba/logo/new/22.png
26,勇士,金州勇士队,Golden State Warriors,美国加利福尼亚州旧金山,威尔特·张伯伦，克里斯·韦伯，拜伦·戴维斯，斯蒂芬·库里，杜兰特,1946,https://mat1.gtimg.com/sports/nba/logo/1602/9.png
