,3P,FT,AST,STL,BLK,PF,TRB,W,L,cnname
Dallas Mavericks,15.1,18.6,24.7,6.1,4.8,19.5,46.9,43,32,独行侠
Milwaukee Bucks,13.8,18.3,25.9,7.2,5.9,19.6,51.7,56,17,雄鹿
Portland Trail Blazers,12.9,17.7,20.6,6.3,6.1,21.7,45.3,35,39,开拓者
Houston Rockets,15.6,20.6,21.6,8.7,5.2,21.8,44.3,44,28,火箭
Los Angeles Clippers,12.4,20.8,23.7,7.1,4.7,22.1,47.7,49,23,快船
New Orleans Pelicans,13.6,17.1,26.8,7.5,5.0,21.2,46.5,30,42,鹈鹕
Phoenix Suns,11.4,19.9,27.2,7.7,4.0,22.0,43.5,34,39,太阳
Washington Wizards,12.0,19.4,25.0,8.0,4.3,22.7,42.0,25,47,奇才
Memphis Grizzlies,10.9,16.6,26.9,7.9,5.5,21.2,46.5,34,39,灰熊
Boston Celtics,12.6,18.6,23.0,8.3,5.6,21.6,46.1,48,24,凯尔特人
Miami Heat,13.4,19.7,25.9,7.5,4.5,20.6,44.4,44,29,热火
Denver Nuggets,11.0,16.2,26.7,8.0,4.6,20.3,44.1,46,27,掘金
Toronto Raptors,13.8,18.5,25.2,8.8,5.0,21.7,45.4,53,19,猛龙
San Antonio Spurs,10.7,19.0,24.7,7.3,5.5,19.4,44.6,32,39,马刺
Philadelphia 76ers,11.6,16.9,25.8,8.0,5.3,20.9,45.4,43,30,76人
Los Angeles Lakers,11.0,17.7,25.4,8.6,6.6,20.7,45.7,52,19,湖人
Brooklyn Nets,13.1,17.9,24.5,6.4,4.5,21.0,47.9,35,37,篮网
Utah Jazz,13.4,17.8,22.4,6.1,4.1,20.4,44.9,44,28,爵士
Indiana Pacers,10.2,15.0,25.9,7.4,5.2,19.8,42.8,45,28,步行者
Oklahoma City Thunder,10.7,19.8,21.7,7.6,4.9,19.3,42.9,44,28,雷霆
Sacramento Kings,12.7,15.7,23.8,7.7,4.1,22.2,42.6,31,41,国王
Orlando Magic,11.1,17.6,23.9,8.2,5.4,18.3,44.5,33,40,魔术
Atlanta Hawks,12.0,18.5,24.0,7.8,5.1,23.1,43.3,20,47,老鹰
Minnesota Timberwolves,13.3,19.1,23.8,8.7,5.7,21.4,44.8,19,45,森林狼
Detroit Pistons,12.0,16.6,24.1,7.4,4.5,19.7,41.7,20,46,活塞
New York Knicks,9.6,16.3,22.1,7.6,4.7,22.2,46.5,21,45,尼克斯
Cleveland Cavaliers,11.2,15.1,23.1,6.9,3.2,18.3,44.2,19,46,骑士
Chicago Bulls,12.2,15.5,23.2,10.0,4.1,21.8,41.9,22,43,公牛
Golden State Warriors,10.4,18.7,25.6,8.2,4.6,20.1,42.8,15,50,勇士
Charlotte Hornets,12.1,16.2,23.8,6.6,4.1,18.8,42.8,23,42,黄蜂
