,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
维克托-奥拉迪波,2.5,0.5,5.0,14.0,0.5,1.0,5.0,3.5,1.0,2,2,53,26.5,0.0,47,23.5,5.0,1.0,3.5,0.467,2.5,后卫
斯蒂芬-库里,4.0,0.5,0.5,12.5,0.6,2.5,3.0,4.0,1.0,2,2,44,22.0,0.5,44,22.0,1.0,1.0,4.0,0.471,3.0,后卫
詹姆斯-哈登,8.3,0.7,3.7,13.333,0.4,3.7,7.332999999999998,3.333,0.818,3,3,94,31.3,0.7,58,19.3,4.3,2.0,3.333,0.345,7.0,后卫
扎克-拉文,1.3,0.3,3.0,12.667,0.5,1.0,4.333,1.3330000000000002,0.846,3,3,65,21.7,0.3,55,18.3,3.3,1.0,1.3330000000000002,0.4,3.0,后卫
丹吉洛-拉塞尔,2.0,0.0,2.5,17.0,0.4,0.0,1.5,3.0,0.667,2,2,52,26.0,0.0,36,18.0,2.5,1.0,3.0,0.353,1.0,后卫
丹尼斯-施罗德,7.0,0.3,3.7,15.333,0.4,2.7,5.0,1.3330000000000002,0.733,3,3,81,27.0,1.0,53,17.7,4.7,0.7,1.3330000000000002,0.5710000000000001,3.0,后卫
布拉德利-比尔,2.3,1.0,3.3,13.333,0.4,2.7,4.333,1.6669999999999998,0.769,3,3,75,25.0,0.7,51,17.0,4.0,1.7,1.6669999999999998,0.238,1.0,后卫
卡里斯-勒维尔,5.0,0.0,4.5,14.0,0.5,2.5,2.5,1.0,0.8,2,2,56,28.0,0.5,32,16.0,5.0,2.0,1.0,0.25,4.5,后卫
JJ-雷迪克,2.8,0.0,0.3,8.5,0.6,1.8,3.0,3.25,0.833,4,0,84,21.0,0.3,63,15.8,0.5,0.3,3.25,0.565,0.3,后卫
肯巴-沃克,2.8,1.0,5.3,11.0,0.4,1.0,5.25,1.75,0.81,4,4,102,25.5,0.3,60,15.0,5.5,1.0,1.75,0.304,1.5,后卫
多诺万米切尔,2.5,0.3,2.0,13.75,0.4,2.8,3.5,1.75,0.643,4,4,88,22.0,0.8,60,15.0,2.8,1.8,1.75,0.368,1.5,后卫
小蒂姆-哈达威,2.0,0.3,2.5,12.25,0.4,2.0,4.5,2.0,0.722,4,4,85,21.3,0.3,59,14.8,2.8,0.5,2.0,0.381,1.5,后卫
凯里-欧文,3.5,1.0,3.0,12.0,0.5,3.5,2.5,1.0,1.0,2,2,51,25.5,0.5,29,14.5,3.5,0.5,1.0,0.222,1.5,后卫
路易斯-威廉姆斯,2.0,0.0,2.0,10.5,0.4,0.5,5.0,2.0,0.9,2,0,42,21.0,0.0,29,14.5,2.0,1.0,2.0,0.444,2.5,后卫
达米安-利拉德,4.7,0.0,2.3,7.332999999999998,0.6,0.7,3.0,2.0,1.0,3,3,58,19.3,0.3,43,14.3,2.7,1.0,2.0,0.667,2.3,后卫
特雷-杨,5.0,0.3,1.3,13.0,0.4,3.3,3.667,1.3330000000000002,0.909,3,3,76,25.3,0.0,42,14.0,1.3,1.3,1.3330000000000002,0.25,2.7,后卫
卢卡-多西奇,3.3,1.7,5.0,8.667,0.5,1.0,5.332999999999998,2.0,0.625,3,3,86,28.7,0.3,42,14.0,5.3,1.0,2.0,0.462,4.0,后卫
乔丹-麦克雷,0.0,0.0,0.0,5.0,1.0,2.0,4.0,1.0,0.75,1,0,13,13.0,1.0,14,14.0,1.0,1.0,1.0,1.0,4.0,后卫
朱-霍勒迪,3.3,0.0,1.3,9.0,0.6,1.3,0.0,2.333,0.0,3,3,58,19.3,0.0,41,13.7,1.3,0.3,2.333,0.583,2.3,后卫
马利克-比斯利,1.3,0.3,2.3,7.667000000000002,0.6,2.7,2.333,3.667,0.5710000000000001,3,0,73,24.3,0.3,41,13.7,2.7,1.0,3.667,0.688,0.7,后卫
麦克-康利,2.5,0.0,1.5,11.5,0.5,3.0,2.0,0.5,1.0,2,2,49,24.5,1.0,27,13.5,2.5,0.5,0.5,0.125,1.5,后卫
凯利-乌布雷,2.0,0.7,4.0,10.667,0.4,3.0,3.333,1.0,0.8,3,0,73,24.3,0.7,39,13.0,4.7,0.7,1.0,0.25,3.0,后卫
乔-因戈尔斯,5.3,0.0,3.7,9.333,0.4,2.3,3.333,2.333,0.8,3,3,67,22.3,0.0,39,13.0,3.7,0.7,2.333,0.35,1.7,后卫
特伦斯-罗斯,1.0,0.0,2.0,9.0,0.6,1.0,2.0,3.0,0.0,1,0,15,15.0,0.0,13,13.0,2.0,3.0,3.0,0.75,0.0,后卫
C.J.麦科勒姆,3.3,0.3,2.7,10.0,0.5,1.3,1.6669999999999998,1.3330000000000002,0.6,3,3,60,20.0,0.7,39,13.0,3.3,0.3,1.3330000000000002,0.364,1.0,后卫
克里斯-保罗,7.7,0.0,4.7,10.667,0.4,3.0,3.333,2.667,0.7,3,3,87,29.0,0.3,39,13.0,5.0,2.0,2.667,0.4,3.0,后卫
加里-哈里斯,2.0,1.0,1.0,10.0,0.5,4.0,2.0,1.0,1.0,1,1,22,22.0,0.0,13,13.0,1.0,0.0,1.0,0.2,0.0,后卫
巴迪-希尔德,2.8,0.0,3.0,11.0,0.5,3.5,0.5,2.25,1.0,4,3,101,25.3,0.8,51,12.8,3.8,1.0,2.25,0.474,2.0,后卫
亚历克-伯克斯,3.0,0.8,4.3,8.25,0.5,1.0,3.5,2.0,0.7140000000000001,4,0,77,19.3,0.5,50,12.5,4.8,0.8,2.0,0.444,1.5,后卫
杰夫-蒂格,4.0,0.0,3.0,9.5,0.4,2.5,4.25,1.25,1.0,4,4,96,24.0,0.5,50,12.5,3.5,0.5,1.25,0.455,2.5,后卫
戈兰-德拉季奇,4.0,0.0,2.3,9.75,0.5,2.0,2.25,1.0,1.0,4,4,82,20.5,0.5,49,12.3,2.8,0.8,1.0,0.308,2.0,后卫
乔丹-克拉克森,3.0,0.0,4.0,8.0,0.6,1.5,2.5,1.5,0.6,2,0,30,15.0,0.0,24,12.0,4.0,0.0,1.5,0.429,0.0,后卫
特里-罗齐尔,1.5,0.0,3.3,11.0,0.4,1.5,1.75,0.75,0.857,4,2,86,21.5,0.0,47,11.8,3.3,1.3,0.75,0.214,0.5,后卫
德玛尔-德罗赞,3.3,0.7,2.0,9.333,0.5,1.3,3.333,0.333,0.8,3,3,70,23.3,0.0,35,11.7,2.0,1.3,0.333,0.5,1.7,后卫
兰斯顿-加洛维,1.0,0.3,1.7,9.667,0.4,0.7,0.667,2.333,1.0,3,0,79,26.3,0.3,35,11.7,2.0,1.0,2.333,0.368,0.7,后卫
约什-哈特,1.8,0.8,3.3,8.25,0.5,3.0,4.0,1.25,0.688,4,2,108,27.0,0.8,46,11.5,4.0,0.8,1.25,0.333,1.0,后卫
乔-哈里斯,2.0,1.0,2.0,9.0,0.4,1.0,2.0,2.0,0.75,2,0,43,21.5,0.0,23,11.5,2.0,0.5,2.0,0.308,1.5,后卫
埃里克-布莱德索,4.5,0.0,4.0,7.5,0.6,1.0,1.0,2.0,0.5,2,2,46,23.0,2.0,23,11.5,6.0,0.5,2.0,0.444,2.5,后卫
亚历山大,3.3,0.3,1.3,9.0,0.5,2.3,1.6669999999999998,0.667,0.8,3,2,68,22.7,0.3,34,11.3,1.7,2.0,0.667,0.667,1.0,后卫
德里克-罗斯,1.7,0.0,1.7,11.0,0.4,1.0,2.0,0.667,0.667,3,3,71,23.7,0.3,34,11.3,2.0,1.0,0.667,0.28600000000000003,1.3,后卫
杰里米-兰姆,3.3,0.8,3.3,9.25,0.4,1.8,2.0,1.25,1.0,4,4,94,23.5,0.8,45,11.3,4.0,0.5,1.25,0.35700000000000004,1.5,后卫
马利克-莫克,4.7,0.3,1.0,11.0,0.4,3.0,0.0,2.667,0.0,3,0,69,23.0,0.0,34,11.3,1.0,1.0,2.667,0.4,1.7,后卫
贾马尔-穆雷,0.5,0.5,1.0,8.0,0.6,2.0,1.5,1.0,0.667,2,2,39,19.5,0.0,22,11.0,1.0,0.5,1.0,0.333,0.5,后卫
德阿龙-福克斯,5.3,0.5,2.8,9.5,0.5,2.5,1.0,1.75,0.25,4,4,97,24.3,0.5,44,11.0,3.3,1.0,1.75,0.412,2.0,后卫
诺曼-鲍威尔,1.0,0.0,1.7,7.0,0.6,2.3,0.667,1.6669999999999998,1.0,3,1,61,20.3,0.3,33,11.0,2.0,0.7,1.6669999999999998,0.556,1.0,后卫
鲁迪-盖伊,1.0,0.7,4.7,6.332999999999998,0.7,0.7,0.0,1.6669999999999998,0.0,3,2,51,17.0,0.3,33,11.0,5.0,1.0,1.6669999999999998,0.833,1.0,后卫
凯尔-洛瑞,1.5,1.0,3.0,7.0,0.4,1.5,5.0,1.0,1.0,2,2,37,18.5,0.0,22,11.0,3.0,0.0,1.0,0.25,1.5,后卫
里基-卢比奥,3.5,0.0,2.0,9.25,0.3,1.0,3.0,2.0,0.917,4,4,79,19.8,0.3,43,10.8,2.3,1.8,2.0,0.421,2.5,后卫
杰伦-布朗,1.3,0.3,2.8,10.75,0.4,3.8,1.25,0.75,0.8,4,4,85,21.3,1.5,43,10.8,4.3,0.3,0.75,0.17600000000000002,1.3,后卫
科林-塞克斯顿,1.7,0.0,2.7,8.0,0.4,2.3,2.667,1.3330000000000002,0.875,3,2,65,21.7,0.3,31,10.3,3.0,0.0,1.3330000000000002,0.5710000000000001,2.0,后卫
福尔康-科尔克马兹,0.3,0.0,2.8,6.0,0.6,1.8,1.0,2.0,0.75,4,0,50,12.5,0.0,41,10.3,2.8,0.5,2.0,0.5329999999999999,0.5,后卫
贾斯蒂斯-温斯洛,1.5,0.0,4.3,7.75,0.4,2.5,4.0,1.0,0.75,4,4,109,27.3,1.0,40,10.0,5.3,0.8,1.0,0.4,1.8,后卫
埃里克-戈登,1.0,0.7,2.0,6.667000000000002,0.4,2.3,3.333,2.0,0.8,3,0,73,24.3,0.3,30,10.0,2.3,0.7,2.0,0.375,2.3,后卫
马尔科姆-布罗格登,1.0,0.5,2.5,8.5,0.5,0.5,1.0,1.0,0.5,2,2,41,20.5,0.0,19,9.5,2.5,0.0,1.0,0.25,0.0,后卫
杰森-塔图姆,0.5,0.3,3.5,10.5,0.3,2.0,2.0,0.75,0.875,4,4,79,19.8,0.3,38,9.5,3.8,0.8,0.75,0.333,0.8,后卫
斯宾瑟-丁威迪,4.5,0.0,3.0,9.5,0.3,2.0,3.5,0.5,0.7140000000000001,2,0,41,20.5,0.5,18,9.0,3.5,0.5,0.5,0.14300000000000002,1.5,后卫
马克尔-富尔茨,2.5,1.0,2.0,9.25,0.4,4.0,1.0,0.25,0.75,4,4,91,22.8,1.3,36,9.0,3.3,1.3,0.25,0.2,2.5,后卫
本-西蒙斯,9.3,1.3,6.5,6.75,0.5,2.3,3.5,0.0,0.5710000000000001,4,4,107,26.8,1.3,36,9.0,7.8,1.8,0.0,0.0,4.5,后卫
兰德里-沙梅特,1.0,0.0,0.8,6.75,0.4,2.0,1.75,1.5,1.0,4,0,72,18.0,0.5,35,8.8,1.3,0.0,1.5,0.353,0.8,后卫
