,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
乔尔-恩比德,2.5,0.5,6.3,16.25,0.5,3.0,7.0,0.5,0.7140000000000001,4,4,98,24.5,2.3,92,23.0,8.5,1.0,0.5,0.111,4.0,中锋
卡尔-安东尼-唐斯,1.3,1.8,6.8,14.25,0.5,2.8,6.75,1.5,0.815,4,4,107,26.8,1.3,86,21.5,8.0,0.5,1.5,0.5,1.5,中锋
尼科拉-武切维奇,2.3,1.7,7.3,17.0,0.5,1.3,3.0,0.667,1.0,3,3,80,26.7,1.3,63,21.0,8.7,0.7,0.667,0.2,1.3,中锋
安德鲁-德拉蒙德,1.0,1.0,7.3,19.333,0.5,4.0,5.667000000000002,0.0,0.412,3,3,89,29.7,4.7,63,21.0,12.0,1.7,0.0,0.0,1.7,中锋
德安德烈-艾顿,1.8,2.5,7.5,13.5,0.6,3.0,5.75,0.0,0.7829999999999999,4,4,119,29.8,4.0,82,20.5,11.5,1.0,0.0,0.0,2.0,中锋
凯文-乐福,0.0,0.0,4.0,10.0,0.5,2.0,7.0,2.0,0.7140000000000001,1,1,17,17.0,0.0,17,17.0,4.0,1.0,2.0,0.667,0.0,中锋
多曼塔斯-萨博尼斯,2.7,0.7,8.0,14.667,0.4,3.3,4.333,0.333,0.6920000000000001,3,1,71,23.7,4.7,48,16.0,12.7,0.7,0.333,0.5,4.0,中锋
尤素夫-努尔基奇,1.7,2.7,6.3,9.333,0.5,2.3,5.0,1.0,0.8,3,3,59,19.7,2.0,45,15.0,8.3,0.7,1.0,0.6,2.3,中锋
安东尼-戴维斯,1.7,2.0,6.3,12.667,0.4,1.0,5.667000000000002,0.333,0.765,3,3,62,20.7,1.7,44,14.7,8.0,2.7,0.333,0.125,2.3,中锋
科迪-泽勒,1.3,1.3,3.3,10.0,0.6,3.0,3.0,0.667,0.444,3,3,66,22.0,1.3,42,14.0,4.7,0.3,0.667,0.5,1.0,中锋
尤纳斯-瓦兰丘纳斯,1.0,0.7,4.0,8.333,0.5,1.7,6.332999999999998,0.0,0.895,3,1,55,18.3,3.7,41,13.7,7.7,1.7,0.0,0.0,2.3,中锋
斯蒂文-亚当斯,2.0,0.7,5.3,10.333,0.5,2.0,3.0,0.0,0.556,3,3,81,27.0,6.0,39,13.0,11.3,0.3,0.0,0.0,2.3,中锋
贾伦-杰克逊,2.0,0.0,2.3,7.332999999999998,0.6,4.0,4.333,0.667,0.6920000000000001,3,0,61,20.3,2.3,39,13.0,4.7,0.7,0.667,0.5,2.3,中锋
朱利叶斯-兰德尔,3.0,0.5,5.5,7.5,0.7,3.0,5.5,0.5,0.455,2,2,45,22.5,0.5,26,13.0,6.0,1.0,0.5,0.333,2.5,中锋
哈桑-怀特塞德,0.3,2.3,10.5,7.75,0.6,2.8,4.75,0.25,0.579,4,4,99,24.8,2.0,50,12.5,12.5,1.0,0.25,0.5,2.0,中锋
鲁迪-戈贝尔,0.3,1.7,4.7,6.0,0.8,2.3,4.667,0.0,0.5,3,3,67,22.3,3.7,37,12.3,8.3,0.7,0.0,0.0,1.3,中锋
尼古拉-约基奇,3.3,0.0,4.0,7.667000000000002,0.5,2.7,5.667000000000002,0.667,0.765,3,3,66,22.0,1.7,37,12.3,5.7,1.0,0.667,0.333,4.0,中锋
蒙特雷斯-哈雷尔,1.7,0.3,5.0,7.667000000000002,0.6,3.3,4.667,0.0,0.5710000000000001,3,0,58,19.3,1.3,36,12.0,6.3,0.3,0.0,0.0,1.7,中锋
拉马库斯-阿尔德里奇,0.7,0.7,4.0,11.0,0.5,2.3,1.3330000000000002,0.0,1.0,3,3,64,21.3,0.7,34,11.3,4.7,0.0,0.0,0.0,1.7,中锋
约翰-科林斯,2.0,0.0,1.5,9.0,0.6,3.0,1.0,0.0,1.0,2,2,33,16.5,1.0,22,11.0,2.5,0.5,0.0,0.0,1.5,中锋
贾勒特艾伦,1.0,3.0,4.0,9.0,0.5,3.0,3.0,0.0,0.5,2,2,51,25.5,4.0,21,10.5,8.0,0.0,0.0,0.0,1.0,中锋
德怀特-鲍威尔,1.5,0.5,3.5,7.0,0.5,4.5,3.0,0.0,0.833,2,2,37,18.5,2.0,19,9.5,5.5,1.0,0.0,0.0,2.0,中锋
迈尔斯-特纳,1.0,2.5,6.5,9.0,0.4,4.0,3.5,0.0,0.7140000000000001,2,2,47,23.5,0.5,19,9.5,7.0,0.5,0.0,0.0,2.0,中锋
达里奥-萨里奇,2.3,1.0,3.7,8.333,0.4,1.7,2.667,0.333,1.0,3,3,72,24.0,1.0,27,9.0,4.7,0.3,0.333,0.1,1.3,中锋
