,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
0,54,9.000,3,0.500,詹姆斯-哈登,34,5.700,2,0.000,0,James Harden,112,18.667,52,0,0.5,0,17,2.800,71,11.833,57,4.333,0,0.803,6,6,13,173,28.800,5,0.800,4563,187,31.200,39,6.500,2019,0,12,2.000,0,10,火箭,66,11.000,26,4.333,0,0.394,1,25,4.200
1,10,3.300,4,1.300,扬尼斯-阿德托昆博,31,10.300,3,0.000,0,Giannis Antetokounmpo,49,16.333,30,0,0.6,0,11,3.700,24,8.000,18,1.333,0,0.750,3,3,34,70,23.300,5,1.700,5185,82,27.300,36,12.000,2019,0,4,1.300,0,15,雄鹿,11,3.667,4,1.333,0,0.364,0,8,2.700
2,17,4.300,4,1.000,斯蒂芬-库里,7,1.800,0,0.000,0,Stephen Curry,67,16.750,34,0,0.5,0,9,2.300,24,6.000,23,4.000,0,0.958,4,4,30,98,24.500,4,1.000,4612,107,26.800,11,2.800,2019,0,6,1.500,0,9,勇士,37,9.250,16,4.000,0,0.432,0,11,2.800
3,12,3.000,0,0.000,扎克-拉文,15,3.800,0,0.000,0,Zach LaVine,54,13.500,32,0,0.6,0,6,1.500,18,4.500,15,3.500,0,0.833,4,4,8,96,24.000,2,0.500,5324,93,23.300,17,4.300,2019,0,5,1.300,0,4,公牛,25,6.250,14,3.500,0,0.560,0,13,3.300
4,9,2.300,0,0.000,Zion Williamson,19,4.800,1,0.000,0,Zion Williamson,49,12.250,35,0,0.7,0,11,2.800,32,8.000,22,0.250,0,0.688,4,4,1,109,27.300,7,1.800,1962938413,93,23.300,26,6.500,2019,0,6,1.500,0,3,鹈鹕,4,1.000,1,0.250,0,0.250,0,8,2.000
5,9,3.000,1,0.300,C.J.麦科勒姆,7,2.300,0,0.000,0,CJ McCollum,40,13.333,24,0,0.6,0,4,1.300,9,3.000,4,3.333,0,0.444,3,3,3,75,25.000,1,0.300,5405,62,20.700,8,2.700,2019,0,2,0.700,0,22,开拓者,18,6.000,10,3.333,0,0.556,0,7,2.300
6,17,4.300,1,0.300,卢卡-多西奇,34,8.500,2,0.000,0,Luka Doncic,52,13.000,22,0,0.4,0,8,2.000,34,8.500,25,3.250,0,0.735,4,4,77,103,25.800,4,1.000,5721,82,20.500,38,9.500,2019,0,5,1.300,0,6,独行侠,31,7.750,13,3.250,0,0.419,0,21,5.300
7,20,4.000,0,0.000,巴迪-希尔德,13,2.600,0,0.000,0,Buddy Hield,75,15.000,36,0,0.5,0,18,3.600,10,2.000,9,3.000,0,0.900,5,5,24,138,27.600,2,0.400,1962937411,96,19.200,15,3.000,2019,0,3,0.600,0,23,国王,37,7.400,15,3.000,0,0.405,0,13,2.600
8,5,1.000,1,0.200,Coby White,17,3.400,0,0.000,0,Coby White,77,15.400,35,0,0.5,0,8,1.600,15,3.000,10,3.200,0,0.667,5,1,0,129,25.800,4,0.800,1962938420,96,19.200,21,4.200,2019,0,2,0.400,0,4,公牛,37,7.400,16,3.200,0,0.432,0,3,0.600
9,5,1.300,3,0.800,亚历山大,16,4.000,0,0.000,0,Shai Gilgeous-Alexander,54,13.500,27,0,0.5,0,7,1.800,19,4.750,17,1.000,0,0.895,4,4,2,106,26.500,3,0.800,1962938060,75,18.800,19,4.800,2019,0,1,0.300,0,25,雷霆,17,4.250,4,1.000,0,0.235,0,12,3.000
