,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
扬尼斯-阿德托昆博,3.3,1.3,10.3,16.333,0.6,3.7,8.0,1.3330000000000002,0.75,3,3,70,23.3,1.7,82,27.3,12.0,1.3,1.3330000000000002,0.364,2.7,前锋
扎克-拉文,3.0,0.0,3.8,13.5,0.6,1.5,4.5,3.5,0.833,4,4,96,24.0,0.5,93,23.3,4.3,1.3,3.5,0.56,3.3,前锋
Zion Williamson,2.3,0.0,4.8,12.25,0.7,2.8,8.0,0.25,0.688,4,4,109,27.3,1.8,93,23.3,6.5,1.5,0.25,0.25,2.0,前锋
卢卡-多西奇,4.3,0.3,8.5,13.0,0.4,2.0,8.5,3.25,0.735,4,4,103,25.8,1.0,82,20.5,9.5,1.3,3.25,0.419,5.3,前锋
亚历山大,1.3,0.8,4.0,13.5,0.5,1.8,4.75,1.0,0.895,4,4,106,26.5,0.8,75,18.8,4.8,0.3,1.0,0.235,3.0,前锋
乔尔-恩比德,1.3,0.8,4.3,9.75,0.5,2.8,8.25,0.5,0.879,4,4,81,20.3,2.3,73,18.3,6.5,0.3,0.5,0.222,2.5,前锋
马文-巴格利三世,0.4,1.2,7.0,13.4,0.5,3.6,5.6,0.6,0.7140000000000001,5,5,138,27.6,2.8,91,18.2,9.8,0.8,0.6,0.333,1.4,前锋
马库斯-莫里斯,1.3,1.0,6.0,12.0,0.5,2.7,3.0,2.333,0.778,3,3,77,25.7,1.0,52,17.3,7.0,0.3,2.333,0.5,1.0,前锋
卡尔-安东尼-唐斯,3.2,1.4,5.0,11.2,0.5,1.4,3.4,2.4,0.941,5,5,106,21.2,1.0,86,17.2,6.0,1.0,2.4,0.387,2.0,前锋
帕斯卡尔-西亚卡姆,4.0,0.7,7.0,12.333,0.5,2.3,4.667,1.6669999999999998,0.857,3,3,71,23.7,1.0,51,17.0,8.0,1.7,1.6669999999999998,0.385,3.7,前锋
托里恩-普林斯,1.3,0.3,2.8,9.5,0.6,2.0,0.75,4.0,1.0,4,3,90,22.5,0.5,67,16.8,3.3,0.8,4.0,0.696,2.0,前锋
朱利叶斯-兰德尔,4.5,1.0,7.3,12.75,0.4,3.3,4.5,1.75,0.778,4,4,125,31.3,0.8,65,16.3,8.0,1.0,1.75,0.438,3.5,前锋
克里斯塔普斯-波尔津吉斯,1.5,0.5,7.5,15.25,0.4,3.3,2.5,2.0,0.8,4,4,92,23.0,2.0,64,16.0,9.5,0.5,2.0,0.28600000000000003,1.8,前锋
蒙特雷斯-哈雷尔,2.6,0.8,4.4,11.8,0.5,1.8,5.8,0.0,0.69,5,1,112,22.4,1.2,80,16.0,5.6,0.8,0.0,0.0,0.8,前锋
RJ Barrett,3.3,0.8,5.8,13.5,0.5,2.5,3.0,1.25,0.667,4,4,149,37.3,1.0,63,15.8,6.8,0.8,1.25,0.333,1.5,前锋
克里斯-米德尔顿,4.5,0.0,4.3,10.75,0.5,2.3,2.75,1.0,1.0,4,4,94,23.5,0.3,61,15.3,4.5,0.5,1.0,0.267,3.3,前锋
赛尔吉-伊巴卡,1.0,1.0,4.7,9.667,0.7,1.7,1.3330000000000002,0.667,0.75,3,2,60,20.0,3.3,45,15.0,8.0,0.3,0.667,0.5,1.7,前锋
勒布朗-詹姆斯,6.3,0.0,3.3,10.25,0.5,0.8,5.0,0.75,0.8,4,4,79,19.8,0.8,59,14.8,4.0,0.8,0.75,0.375,1.8,前锋
特里斯坦-汤普森,2.0,0.0,5.0,11.5,0.6,2.5,1.5,0.0,0.333,2,2,55,27.5,4.0,29,14.5,9.0,0.5,0.0,0.0,1.0,前锋
布兰登-英格拉姆,2.2,0.2,3.6,10.8,0.4,2.6,4.6,1.0,0.826,5,5,111,22.2,0.8,72,14.4,4.4,0.8,1.0,0.385,2.2,前锋
贾伦-杰克逊,1.4,1.6,6.0,10.8,0.4,4.4,4.8,1.6,0.75,5,5,123,24.6,1.4,72,14.4,7.4,0.6,1.6,0.348,2.4,前锋
特伦斯-罗斯,1.4,0.6,1.4,12.0,0.4,1.0,2.0,2.6,0.8,5,0,93,18.6,0.6,71,14.2,2.0,0.8,2.6,0.325,1.0,前锋
达尼罗-加里纳利,1.3,0.0,7.3,10.333,0.5,1.7,3.333,1.6669999999999998,0.9,3,3,65,21.7,1.0,42,14.0,8.3,0.0,1.6669999999999998,0.417,0.3,前锋
TJ-沃伦,1.3,0.3,2.3,10.5,0.5,2.3,2.25,1.75,0.889,4,4,90,22.5,0.0,55,13.8,2.3,0.3,1.75,0.5,1.8,前锋
鲍比-波蒂斯,1.7,0.3,5.3,9.333,0.5,3.3,5.0,0.667,0.733,3,1,84,28.0,2.0,41,13.7,7.3,0.0,0.667,0.2,2.0,前锋
弗兰克-卡明斯基,2.8,0.3,4.3,9.0,0.5,0.8,3.5,2.0,0.857,4,0,94,23.5,1.0,54,13.5,5.3,0.3,2.0,0.421,1.3,前锋
保罗-米尔萨普,0.0,0.3,3.0,6.332999999999998,0.6,2.0,4.0,2.0,0.833,3,3,57,19.0,0.3,40,13.3,3.3,2.0,2.0,0.667,2.0,前锋
德玛尔-德罗赞,3.0,0.0,2.7,8.333,0.5,1.0,5.332999999999998,1.0,0.813,3,3,70,23.3,0.7,40,13.3,3.3,0.0,1.0,1.0,1.0,前锋
吉米-巴特勒,5.0,1.3,4.0,9.667,0.6,1.3,3.0,0.333,0.778,3,3,78,26.0,1.0,40,13.3,5.0,0.7,0.333,0.2,2.7,前锋
克里斯蒂安-伍德,1.0,0.8,5.4,8.0,0.6,1.8,4.8,0.4,0.833,5,0,85,17.0,1.8,66,13.2,7.2,0.2,0.4,0.4,1.0,前锋
狄龙布鲁克斯,0.6,0.0,0.8,11.2,0.4,2.8,3.4,1.8,0.882,5,4,111,22.2,0.4,66,13.2,1.2,0.4,1.8,0.375,1.4,前锋
杰森-塔图姆,1.0,0.7,5.7,13.0,0.4,0.0,1.6669999999999998,1.6669999999999998,0.4,3,3,63,21.0,0.3,39,13.0,6.0,2.0,1.6669999999999998,0.313,2.3,前锋
安东尼-戴维斯,3.8,1.5,4.8,10.5,0.4,1.5,4.75,0.25,0.789,4,4,83,20.8,1.5,52,13.0,6.3,1.0,0.25,0.111,1.5,前锋
本-西蒙斯,5.0,0.7,6.0,8.667,0.6,2.3,3.667,0.333,0.545,3,3,68,22.7,1.3,39,13.0,7.3,1.7,0.333,1.0,3.7,前锋
托马斯-布莱恩特,1.6,0.4,7.0,10.2,0.5,2.0,2.8,1.8,0.7140000000000001,5,5,113,22.6,2.0,65,13.0,9.0,0.2,1.8,0.429,1.4,前锋
拉马库斯-阿尔德里奇,1.8,1.3,4.8,10.25,0.5,1.0,2.5,0.5,0.7,4,4,88,22.0,1.3,51,12.8,6.0,1.0,0.5,0.667,1.0,前锋
凯利-乌布雷,1.0,0.7,3.0,10.333,0.3,3.0,7.332999999999998,1.0,0.8640000000000001,3,2,60,20.0,0.3,38,12.7,3.3,1.3,1.0,0.214,1.3,前锋
多曼塔斯-萨博尼斯,2.8,0.5,8.5,10.75,0.4,2.0,4.25,0.25,0.647,4,4,98,24.5,2.8,50,12.5,11.3,0.5,0.25,0.125,2.5,前锋
Jarrett Culver,2.0,0.4,2.2,12.2,0.4,1.0,1.8,1.4,0.556,5,0,118,23.6,1.2,62,12.4,3.4,1.0,1.4,0.28,1.6,前锋
P.J. Washington,1.8,0.6,3.8,7.0,0.6,3.0,2.2,1.6,0.818,5,3,127,25.4,1.2,61,12.2,5.0,1.0,1.6,0.5,2.0,前锋
托拜亚斯-哈里斯,2.0,0.4,5.4,11.2,0.4,2.4,1.6,1.0,0.875,5,5,124,24.8,1.6,60,12.0,7.0,0.6,1.0,0.25,1.4,前锋
杰拉米-格兰特,0.3,0.5,1.8,7.0,0.5,3.0,3.5,1.75,0.929,4,1,84,21.0,0.8,48,12.0,2.5,1.0,1.75,0.583,1.8,前锋
奥托-波特,3.3,1.0,2.0,10.25,0.4,0.8,2.0,1.75,0.5,4,4,77,19.3,1.5,47,11.8,3.5,0.8,1.75,0.35,0.5,前锋
贾伊-克劳德,1.5,0.3,4.8,9.25,0.4,1.3,3.25,2.25,0.769,4,4,101,25.3,0.5,47,11.8,5.3,1.0,2.25,0.34600000000000003,1.0,前锋
小蒂姆-哈达威,2.2,0.2,1.6,9.0,0.5,1.2,0.8,2.4,1.0,5,2,109,21.8,0.0,58,11.6,1.6,0.8,2.4,0.429,0.2,前锋
贾巴里-帕克,0.8,0.2,5.4,9.4,0.5,2.4,2.6,1.0,0.615,5,1,113,22.6,2.0,57,11.4,7.4,0.2,1.0,0.278,2.4,前锋
杰里米-兰姆,2.5,0.0,3.5,9.0,0.4,1.3,2.75,1.25,0.909,4,4,94,23.5,0.5,45,11.3,4.0,1.3,1.25,0.294,1.8,前锋
劳里-马尔卡宁,2.0,0.0,7.0,10.5,0.4,2.0,1.75,2.0,0.7140000000000001,4,4,91,22.8,1.3,45,11.3,8.3,0.5,2.0,0.333,1.3,前锋
巴姆-阿德巴约,2.6,1.6,7.4,7.8,0.5,3.0,3.8,0.0,0.8420000000000001,5,5,118,23.6,2.2,56,11.2,9.6,0.6,0.0,0.0,1.8,前锋
道格-迈克德莫特,0.5,0.3,1.5,8.75,0.5,1.8,1.0,2.25,0.75,4,0,64,16.0,0.3,44,11.0,1.8,0.3,2.25,0.5,0.8,前锋
迈尔斯-特纳,2.3,3.8,4.5,8.25,0.5,2.0,1.75,1.0,0.857,4,4,95,23.8,1.8,44,11.0,6.3,1.3,1.0,0.5,1.8,前锋
哈里森-巴恩斯,2.2,0.0,2.2,7.2,0.4,0.8,3.8,0.6,1.0,5,5,128,25.6,0.2,54,10.8,2.4,0.4,0.6,0.231,0.6,前锋
OG-阿奴诺比,2.0,0.0,2.8,8.0,0.5,2.3,2.0,1.5,0.75,4,4,96,24.0,0.5,42,10.5,3.3,1.5,1.5,0.462,2.0,前锋
约翰-科林斯,0.8,1.0,5.8,10.0,0.4,1.8,3.75,0.75,0.5329999999999999,4,4,102,25.5,1.8,41,10.3,7.5,0.8,0.75,0.25,3.0,前锋
Rui Hachimura,1.3,0.5,3.3,9.25,0.4,2.5,4.0,1.0,0.438,4,4,88,22.0,3.3,41,10.3,6.5,0.8,1.0,0.444,1.8,前锋
DeAndre Hunter,2.4,0.2,2.2,8.0,0.5,2.2,1.6,1.4,0.5,5,4,115,23.0,0.0,51,10.2,2.2,0.4,1.4,0.389,1.4,前锋
杰克-雷曼,1.8,0.8,3.4,7.8,0.5,1.2,2.2,1.4,0.636,5,3,101,20.2,0.4,50,10.0,3.8,0.4,1.4,0.292,1.2,前锋
科怀-莱昂纳德,4.0,0.0,1.5,12.5,0.3,2.0,1.0,1.5,0.5,2,2,33,16.5,0.5,20,10.0,2.0,2.5,1.5,0.273,1.0,前锋
布雷克-格里芬,4.0,0.0,1.5,8.0,0.4,1.5,3.0,1.5,0.5,2,2,41,20.5,1.0,20,10.0,2.5,0.0,1.5,0.333,4.0,前锋
Brandon Clarke,1.5,0.3,7.0,7.25,0.6,0.5,2.25,0.0,0.778,4,4,79,19.8,2.8,39,9.8,9.8,0.5,0.0,0.0,1.0,前锋
阿隆-戈登,1.8,0.2,4.2,11.167,0.4,1.3,1.5,0.833,0.667,6,6,125,20.8,0.8,59,9.8,5.0,0.7,0.833,0.217,1.5,前锋
