cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
詹姆斯-哈登,9.0,0.5,5.7,18.667,0.5,2.8,11.833,4.333,0.8029999999999999,6,6,173,28.8,0.8,187,31.2,6.5,2.0,4.333,0.39399999999999996,4.2
扬尼斯-阿德托昆博,3.3,1.3,10.3,16.333,0.6,3.7,8.0,1.3330000000000002,0.75,3,3,70,23.3,1.7,82,27.3,12.0,1.3,1.3330000000000002,0.364,2.7
斯蒂芬-库里,4.3,1.0,1.8,16.75,0.5,2.3,6.0,4.0,0.958,4,4,98,24.5,1.0,107,26.8,2.8,1.5,4.0,0.43200000000000005,2.8
扎克-拉文,3.0,0.0,3.8,13.5,0.6,1.5,4.5,3.5,0.833,4,4,96,24.0,0.5,93,23.3,4.3,1.3,3.5,0.56,3.3
Zion Williamson,2.3,0.0,4.8,12.25,0.7,2.8,8.0,0.25,0.688,4,4,109,27.3,1.8,93,23.3,6.5,1.5,0.25,0.25,2.0
C.J.麦科勒姆,3.0,0.3,2.3,13.333,0.6,1.3,3.0,3.333,0.444,3,3,75,25.0,0.3,62,20.7,2.7,0.7,3.333,0.556,2.3
卢卡-多西奇,4.3,0.3,8.5,13.0,0.4,2.0,8.5,3.25,0.735,4,4,103,25.8,1.0,82,20.5,9.5,1.3,3.25,0.419,5.3
巴迪-希尔德,4.0,0.0,2.6,15.0,0.5,3.6,2.0,3.0,0.9,5,5,138,27.6,0.4,96,19.2,3.0,0.6,3.0,0.405,2.6
Coby White,1.0,0.2,3.4,15.4,0.5,1.6,3.0,3.2,0.667,5,1,129,25.8,0.8,96,19.2,4.2,0.4,3.2,0.43200000000000005,0.6
亚历山大,1.3,0.8,4.0,13.5,0.5,1.8,4.75,1.0,0.895,4,4,106,26.5,0.8,75,18.8,4.8,0.3,1.0,0.235,3.0
多诺万米切尔,3.3,0.0,3.5,13.5,0.5,1.3,4.25,1.75,0.8240000000000001,4,4,103,25.8,0.8,73,18.3,4.3,0.3,1.75,0.368,1.3
乔尔-恩比德,1.3,0.8,4.3,9.75,0.5,2.8,8.25,0.5,0.879,4,4,81,20.3,2.3,73,18.3,6.5,0.3,0.5,0.222,2.5
马文-巴格利三世,0.4,1.2,7.0,13.4,0.5,3.6,5.6,0.6,0.7140000000000001,5,5,138,27.6,2.8,91,18.2,9.8,0.8,0.6,0.33299999999999996,1.4
丹吉洛-拉塞尔,3.0,0.5,2.0,14.75,0.4,2.0,2.5,2.75,0.9,4,4,99,24.8,0.3,72,18.0,2.3,0.5,2.75,0.355,2.8
马库斯-莫里斯,1.3,1.0,6.0,12.0,0.5,2.7,3.0,2.333,0.778,3,3,77,25.7,1.0,52,17.3,7.0,0.3,2.333,0.5,1.0
卡尔-安东尼-唐斯,3.2,1.4,5.0,11.2,0.5,1.4,3.4,2.4,0.941,5,5,106,21.2,1.0,86,17.2,6.0,1.0,2.4,0.387,2.0
帕斯卡尔-西亚卡姆,4.0,0.7,7.0,12.333,0.5,2.3,4.667,1.6669999999999998,0.857,3,3,71,23.7,1.0,51,17.0,8.0,1.7,1.6669999999999998,0.385,3.7
特雷-杨,6.6,0.2,3.8,13.2,0.4,1.8,5.2,1.2,0.846,5,5,130,26.0,1.2,84,16.8,5.0,1.0,1.2,0.25,4.8
托里恩-普林斯,1.3,0.3,2.8,9.5,0.6,2.0,0.75,4.0,1.0,4,3,90,22.5,0.5,67,16.8,3.3,0.8,4.0,0.696,2.0
朱利叶斯-兰德尔,4.5,1.0,7.3,12.75,0.4,3.3,4.5,1.75,0.778,4,4,125,31.3,0.8,65,16.3,8.0,1.0,1.75,0.43799999999999994,3.5
拉塞尔-韦斯布鲁克,4.5,0.3,2.0,13.25,0.4,3.8,5.5,1.75,0.636,4,4,100,25.0,1.3,65,16.3,3.3,2.0,1.75,0.26899999999999996,5.3
奎因-库克,3.0,0.0,1.0,9.0,0.7,0.0,0.0,4.0,0.0,1,0,15,15.0,1.0,16,16.0,2.0,0.0,4.0,0.8,1.0
克里斯塔普斯-波尔津吉斯,1.5,0.5,7.5,15.25,0.4,3.3,2.5,2.0,0.8,4,4,92,23.0,2.0,64,16.0,9.5,0.5,2.0,0.28600000000000003,1.8
达米安-利拉德,3.3,0.7,3.0,10.0,0.5,1.0,4.667,1.6669999999999998,0.929,3,3,74,24.7,0.3,48,16.0,3.3,0.3,1.6669999999999998,0.35700000000000004,3.3
斯蒂文-亚当斯,1.7,0.3,4.7,9.667,0.7,1.7,5.0,0.33299999999999996,0.467,3,3,68,22.7,2.7,48,16.0,7.3,0.7,0.33299999999999996,1.0,2.0
蒙特雷斯-哈雷尔,2.6,0.8,4.4,11.8,0.5,1.8,5.8,0.0,0.69,5,1,112,22.4,1.2,80,16.0,5.6,0.8,0.0,0.0,0.8
莫里兹-瓦格纳,1.8,0.2,2.8,9.6,0.6,3.6,3.8,1.6,0.895,5,1,105,21.0,0.6,79,15.8,3.4,1.4,1.6,0.364,1.6
RJ Barrett,3.3,0.8,5.8,13.5,0.5,2.5,3.0,1.25,0.667,4,4,149,37.3,1.0,63,15.8,6.8,0.8,1.25,0.33299999999999996,1.5
诺曼-鲍威尔,1.3,0.0,2.0,8.667,0.6,1.7,2.333,3.0,0.857,3,2,60,20.0,0.3,47,15.7,2.3,0.3,3.0,0.6920000000000001,0.7
Nickeil Alexander-Walker,4.0,0.4,2.2,11.4,0.5,1.0,2.2,2.8,0.818,5,0,93,18.6,0.4,77,15.4,2.6,0.8,2.8,0.467,2.0
厄桑-伊利亚索瓦,1.7,1.0,3.7,8.0,0.6,1.0,3.667,3.333,0.727,3,1,52,17.3,0.3,46,15.3,4.0,0.7,3.333,0.625,0.3
特里-罗齐尔,5.0,0.3,4.0,12.25,0.5,1.0,1.5,1.75,1.0,4,4,98,24.5,0.0,61,15.3,4.0,1.3,1.75,0.467,1.5
克里斯-米德尔顿,4.5,0.0,4.3,10.75,0.5,2.3,2.75,1.0,1.0,4,4,94,23.5,0.3,61,15.3,4.5,0.5,1.0,0.267,3.3
Carsen Edwards,0.8,0.5,1.3,10.75,0.5,3.0,1.0,3.5,0.75,4,1,73,18.3,0.0,61,15.3,1.3,0.3,3.5,0.452,1.5
赛尔吉-伊巴卡,1.0,1.0,4.7,9.667,0.7,1.7,1.3330000000000002,0.667,0.75,3,2,60,20.0,3.3,45,15.0,8.0,0.3,0.667,0.5,1.7
鲁迪-戈贝尔,0.7,1.7,5.7,7.332999999999999,0.6,3.0,9.0,0.0,0.63,3,3,75,25.0,2.3,45,15.0,8.0,0.3,0.0,0.0,1.3
朱-霍勒迪,3.8,0.8,2.0,10.5,0.5,2.0,2.0,1.5,1.0,4,4,83,20.8,0.5,60,15.0,2.5,1.5,1.5,0.33299999999999996,2.3
勒布朗-詹姆斯,6.3,0.0,3.3,10.25,0.5,0.8,5.0,0.75,0.8,4,4,79,19.8,0.8,59,14.8,4.0,0.8,0.75,0.375,1.8
布林-福布斯,1.2,0.0,1.6,10.4,0.5,1.4,0.8,3.0,0.75,5,5,106,21.2,0.0,74,14.8,1.6,0.4,3.0,0.556,2.2
布拉德利-比尔,3.0,0.3,2.3,12.5,0.4,2.0,2.75,1.5,0.818,4,4,76,19.0,0.5,59,14.8,2.8,0.5,1.5,0.375,1.8
安德鲁-德拉蒙德,2.5,1.3,6.5,11.75,0.5,1.3,6.0,0.0,0.45799999999999996,4,4,94,23.5,3.8,59,14.8,10.3,1.0,0.0,0.0,2.8
德阿龙-福克斯,6.0,0.8,1.8,11.75,0.4,3.8,7.0,0.5,0.7140000000000001,4,4,107,26.8,0.3,58,14.5,2.0,2.0,0.5,0.25,3.3
特里斯坦-汤普森,2.0,0.0,5.0,11.5,0.6,2.5,1.5,0.0,0.33299999999999996,2,2,55,27.5,4.0,29,14.5,9.0,0.5,0.0,0.0,1.0
布兰登-英格拉姆,2.2,0.2,3.6,10.8,0.4,2.6,4.6,1.0,0.826,5,5,111,22.2,0.8,72,14.4,4.4,0.8,1.0,0.385,2.2
贾伦-杰克逊,1.4,1.6,6.0,10.8,0.4,4.4,4.8,1.6,0.75,5,5,123,24.6,1.4,72,14.4,7.4,0.6,1.6,0.348,2.4
Tyler Herro,2.0,0.4,4.4,11.2,0.5,2.4,1.2,2.8,0.833,5,2,132,26.4,0.0,71,14.2,4.4,1.0,2.8,0.519,2.2
特伦斯-罗斯,1.4,0.6,1.4,12.0,0.4,1.0,2.0,2.6,0.8,5,0,93,18.6,0.6,71,14.2,2.0,0.8,2.6,0.325,1.0
乔丹-赛伯特,0.0,0.0,0.0,6.0,0.7,1.0,3.0,3.0,1.0,1,0,12,12.0,0.0,14,14.0,0.0,0.0,3.0,0.6,0.0
德安德烈-艾顿,1.7,1.0,3.3,10.333,0.7,3.0,0.0,0.0,0.0,3,3,62,20.7,3.3,42,14.0,6.7,0.0,0.0,0.0,2.7
科林-塞克斯顿,1.8,0.0,1.8,10.5,0.4,2.0,4.5,1.5,0.889,4,4,101,25.3,0.5,56,14.0,2.3,0.3,1.5,0.353,3.3
达尼罗-加里纳利,1.3,0.0,7.3,10.333,0.5,1.7,3.333,1.6669999999999998,0.9,3,3,65,21.7,1.0,42,14.0,8.3,0.0,1.6669999999999998,0.41700000000000004,0.3
克林特-卡佩拉,1.0,1.5,6.3,8.0,0.7,2.2,5.0,0.0,0.6,6,6,136,22.7,2.7,84,14.0,9.0,0.5,0.0,0.0,1.5
弗雷德-万维利特,7.7,0.0,3.3,9.333,0.4,1.0,4.0,2.333,0.917,3,3,78,26.0,0.0,42,14.0,3.3,2.0,2.333,0.43799999999999994,1.3
路易斯-威廉姆斯,3.3,0.0,3.0,8.667,0.4,0.7,6.332999999999999,1.0,0.895,3,1,50,16.7,0.3,42,14.0,3.3,0.7,1.0,0.273,1.0
Goga Bitadze,2.0,1.0,2.0,9.0,0.7,4.0,0.0,2.0,0.0,1,0,24,24.0,2.0,14,14.0,4.0,0.0,2.0,0.667,6.0
肯德里克-纳恩,3.6,0.0,1.2,10.4,0.5,1.6,1.2,2.2,0.667,5,2,92,18.4,0.2,69,13.8,1.4,1.0,2.2,0.478,1.0
TJ-沃伦,1.3,0.3,2.3,10.5,0.5,2.3,2.25,1.75,0.889,4,4,90,22.5,0.0,55,13.8,2.3,0.3,1.75,0.5,1.8
德文-布克,4.0,0.0,3.3,10.333,0.4,2.3,4.333,1.0,0.9229999999999999,3,3,69,23.0,0.3,41,13.7,3.7,1.7,1.0,0.33299999999999996,4.0
鲍比-波蒂斯,1.7,0.3,5.3,9.333,0.5,3.3,5.0,0.667,0.733,3,1,84,28.0,2.0,41,13.7,7.3,0.0,0.667,0.2,2.0
扎克-科林斯,1.8,1.2,5.0,11.0,0.5,3.0,2.8,0.4,0.7140000000000001,5,4,125,25.0,2.6,68,13.6,7.6,0.2,0.4,0.222,3.0
弗兰克-卡明斯基,2.8,0.3,4.3,9.0,0.5,0.8,3.5,2.0,0.857,4,0,94,23.5,1.0,54,13.5,5.3,0.3,2.0,0.42100000000000004,1.3
保罗-米尔萨普,0.0,0.3,3.0,6.332999999999999,0.6,2.0,4.0,2.0,0.833,3,3,57,19.0,0.3,40,13.3,3.3,2.0,2.0,0.667,2.0
德玛尔-德罗赞,3.0,0.0,2.7,8.333,0.5,1.0,5.332999999999999,1.0,0.813,3,3,70,23.3,0.7,40,13.3,3.3,0.0,1.0,1.0,1.0
吉米-巴特勒,5.0,1.3,4.0,9.667,0.6,1.3,3.0,0.33299999999999996,0.778,3,3,78,26.0,1.0,40,13.3,5.0,0.7,0.33299999999999996,0.2,2.7
克里斯蒂安-伍德,1.0,0.8,5.4,8.0,0.6,1.8,4.8,0.4,0.833,5,0,85,17.0,1.8,66,13.2,7.2,0.2,0.4,0.4,1.0
Jordan Poole,1.0,0.2,1.2,10.8,0.4,2.2,3.4,2.6,0.882,5,1,113,22.6,0.2,66,13.2,1.4,0.6,2.6,0.33299999999999996,2.2
