,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
0,54,4.500,12,1.000,凯文-杜兰特,58,4.800,0,0.000,0,Kevin Durant,243,20.250,125,0,0.5,0,38,3.200,113,9.417,102,2.917,0,0.903,12,12,7,442,36.800,1,0.100,4244,387,32.300,59,4.900,2018,2,13,1.100,0,9,勇士,80,6.667,35,2.917,0,0.438,0,43,3.600
1,73,6.600,10,0.900,詹姆斯-哈登,66,6.000,4,0.000,0,James Harden,264,24.000,109,0,0.4,0,41,3.700,98,8.909,82,4.364,0,0.837,11,11,13,424,38.500,9,0.800,4563,348,31.600,75,6.800,2018,2,24,2.200,0,10,火箭,137,12.455,48,4.364,0,0.350,1,51,4.600
2,94,3.900,17,0.700,科怀-莱昂纳德,164,6.800,9,0.000,0,Kawhi Leonard,496,20.667,243,0,0.5,0,56,2.300,216,9.000,191,2.292,0,0.884,24,24,2,939,39.100,54,2.300,4896,732,30.500,218,9.100,2018,2,40,1.700,0,28,猛龙,145,6.042,55,2.292,0,0.379,0,74,3.100
3,18,3.600,1,0.200,保罗-乔治,37,7.400,2,0.000,0,Paul George,101,20.200,44,0,0.4,0,21,4.200,49,9.800,40,3.000,0,0.816,5,5,13,204,40.800,6,1.200,4725,143,28.600,43,8.600,2018,2,7,1.400,0,25,雷霆,47,9.400,15,3.000,0,0.319,0,21,4.200
4,126,5.700,4,0.200,斯蒂芬-库里,115,5.200,3,0.000,0,Stephen Curry,431,19.591,190,0,0.4,0,68,3.100,157,7.136,148,4.182,0,0.943,22,22,30,846,38.500,17,0.800,4612,620,28.200,132,6.000,2018,2,24,1.100,0,9,勇士,244,11.091,92,4.182,0,0.377,1,66,3.000
5,106,6.600,5,0.300,达米安-利拉德,68,4.300,3,0.000,0,Damian Lillard,330,20.625,138,0,0.4,0,40,2.500,114,7.125,95,3.688,0,0.833,16,16,0,650,40.600,8,0.500,5012,430,26.900,76,4.800,2018,2,27,1.700,0,22,开拓者,158,9.875,59,3.688,0,0.373,0,60,3.800
6,73,4.900,30,2.000,扬尼斯-阿德托昆博,147,9.800,10,0.000,0,Giannis Antetokounmpo,261,17.400,129,0,0.5,0,48,3.200,168,11.200,107,1.200,0,0.637,15,15,34,514,34.300,36,2.400,5185,383,25.500,183,12.200,2018,2,18,1.200,0,15,雄鹿,55,3.667,18,1.200,0,0.327,0,50,3.300
7,118,8.400,13,0.900,尼古拉-约基奇,128,9.100,12,0.000,0,Nikola Jokic,261,18.643,132,0,0.5,0,54,3.900,78,5.571,66,1.571,0,0.846,14,14,15,556,39.700,54,3.900,5352,352,25.100,182,13.000,2018,2,16,1.100,0,7,掘金,56,4.000,22,1.571,0,0.393,4,36,2.600
8,59,3.700,10,0.600,C.J.麦科勒姆,66,4.100,0,0.000,0,CJ McCollum,350,21.875,154,0,0.4,0,34,2.100,56,3.500,41,2.875,0,0.732,16,16,3,635,39.700,14,0.900,5405,395,24.700,80,5.000,2018,2,13,0.800,0,22,开拓者,117,7.313,46,2.875,0,0.393,0,30,1.900
9,12,6.000,0,0.000,布雷克-格里芬,8,4.000,0,0.000,0,Blake Griffin,39,19.500,18,0,0.5,0,9,4.500,7,3.500,7,3.000,0,1.000,2,2,23,58,29.000,4,2.000,4561,49,24.500,12,6.000,2018,2,2,1.000,0,8,活塞,13,6.500,6,3.000,0,0.462,0,6,3.000
10,53,10.600,3,0.600,拉塞尔-韦斯布鲁克,38,7.600,4,0.000,0,Russell Westbrook,111,22.200,40,0,0.4,0,19,3.800,26,5.200,23,2.200,0,0.885,5,5,4,197,39.400,7,1.400,4390,114,22.800,45,9.000,2018,2,5,1.000,0,25,雷霆,34,6.800,11,2.200,0,0.324,2,23,4.600
11,32,4.600,1,0.100,德玛尔-德罗赞,37,5.300,1,0.000,0,DeMar DeRozan,119,17.000,58,0,0.5,0,16,2.300,44,6.286,38,0.000,0,0.864,7,7,10,251,35.900,10,1.400,4614,154,22.000,47,6.700,2018,2,8,1.100,0,24,马刺,1,0.143,0,0.000,0,0.000,0,12,1.700
12,46,7.700,1,0.200,路易斯-威廉姆斯,11,1.800,2,0.000,0,Lou Williams,104,17.333,45,0,0.4,0,14,2.300,41,6.833,34,1.000,0,0.829,6,0,23,176,29.300,6,1.000,3971,130,21.700,17,2.800,2018,2,5,0.800,0,12,快船,18,3.000,6,1.000,0,0.333,0,18,3.000
13,16,3.200,1,0.200,多诺万米切尔,18,3.600,0,0.000,0,Donovan Mitchell,112,22.400,36,0,0.3,0,15,3.000,33,6.600,24,2.200,0,0.727,5,5,45,193,38.600,7,1.400,1962937730,107,21.400,25,5.000,2018,2,8,1.600,0,26,爵士,43,8.600,11,2.200,0,0.256,0,21,4.200
14,66,4.700,2,0.100,贾马尔-穆雷,42,3.000,1,0.000,0,Jamal Murray,252,18.000,107,0,0.4,0,24,1.700,62,4.429,56,2.000,0,0.903,14,14,27,508,36.300,19,1.400,1962937421,298,21.300,61,4.400,2018,2,14,1.000,0,7,掘金,83,5.929,28,2.000,0,0.337,0,22,1.600
15,63,7.000,4,0.400,凯里-欧文,34,3.800,3,0.000,0,Kyrie Irving,179,19.889,69,0,0.4,0,26,2.900,40,4.444,36,2.000,0,0.900,9,9,11,330,36.700,5,0.600,4840,192,21.300,39,4.300,2018,2,13,1.400,0,2,凯尔特人,58,6.444,18,2.000,0,0.310,0,28,3.100
16,15,3.000,2,0.400,卡里斯-勒维尔,17,3.400,0,0.000,0,Caris LeVert,73,14.600,36,0,0.5,0,8,1.600,29,5.800,21,2.400,0,0.724,5,2,22,144,28.800,6,1.200,1962937419,105,21.000,23,4.600,2018,2,5,1.000,0,17,篮网,26,5.200,12,2.400,0,0.462,0,10,2.000
17,44,2.100,15,0.700,克雷-汤普森,74,3.500,0,0.000,0,Klay Thompson,360,17.143,164,0,0.5,0,59,2.800,41,1.952,37,3.333,0,0.902,21,21,11,818,39.000,12,0.600,4892,435,20.700,86,4.100,2018,2,28,1.300,0,9,勇士,158,7.524,70,3.333,0,0.443,0,38,1.800
18,37,3.400,25,2.300,乔尔-恩比德,94,8.500,7,0.000,0,Joel Embiid,159,14.455,68,0,0.4,0,34,3.100,90,8.182,74,1.091,0,0.822,11,11,21,334,30.400,21,1.900,5294,222,20.200,115,10.500,2018,2,8,0.700,0,20,76人,39,3.545,12,1.091,0,0.308,0,40,3.600
19,19,2.700,7,1.000,拉马库斯-阿尔德里奇,48,6.900,4,0.000,0,LaMarcus Aldridge,121,17.286,55,0,0.5,0,21,3.000,33,4.714,27,0.429,0,0.818,7,7,12,244,34.900,19,2.700,4130,140,20.000,67,9.600,2018,2,5,0.700,0,24,马刺,11,1.571,3,0.429,0,0.273,0,7,1.000
20,16,2.700,1,0.200,达尼罗-加里纳利,28,4.700,0,0.000,0,Danilo Gallinari,111,18.500,39,0,0.4,0,14,2.300,33,5.500,28,2.167,0,0.848,6,6,8,201,33.500,9,1.500,4468,119,19.800,37,6.200,2018,2,8,1.300,0,12,快船,43,7.167,13,2.167,0,0.302,0,11,1.800
