,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
詹姆斯-哈登,6.6,0.9,6.0,24.0,0.4,3.7,8.908999999999997,4.364,0.8370000000000001,11,11,424,38.5,0.8,348,31.6,6.8,2.2,4.364,0.35,4.6,后卫
斯蒂芬-库里,5.7,0.2,5.2,19.591,0.4,3.1,7.136,4.182,0.943,22,22,846,38.5,0.8,620,28.2,6.0,1.1,4.182,0.377,3.0,后卫
达米安-利拉德,6.6,0.3,4.3,20.625,0.4,2.5,7.125,3.688,0.833,16,16,650,40.6,0.5,430,26.9,4.8,1.7,3.688,0.373,3.8,后卫
C.J.麦科勒姆,3.7,0.6,4.1,21.875,0.4,2.1,3.5,2.875,0.732,16,16,635,39.7,0.9,395,24.7,5.0,0.8,2.875,0.393,1.9,后卫
拉塞尔-韦斯布鲁克,10.6,0.6,7.6,22.2,0.4,3.8,5.2,2.2,0.885,5,5,197,39.4,1.4,114,22.8,9.0,1.0,2.2,0.324,4.6,后卫
德玛尔-德罗赞,4.6,0.1,5.3,17.0,0.5,2.3,6.2860000000000005,0.0,0.8640000000000001,7,7,251,35.9,1.4,154,22.0,6.7,1.1,0.0,0.0,1.7,后卫
路易斯-威廉姆斯,7.7,0.2,1.8,17.333,0.4,2.3,6.832999999999998,1.0,0.8290000000000001,6,0,176,29.3,1.0,130,21.7,2.8,0.8,1.0,0.333,3.0,后卫
多诺万米切尔,3.2,0.2,3.6,22.4,0.3,3.0,6.6,2.2,0.727,5,5,193,38.6,1.4,107,21.4,5.0,1.6,2.2,0.256,4.2,后卫
贾马尔-穆雷,4.7,0.1,3.0,18.0,0.4,1.7,4.4289999999999985,2.0,0.903,14,14,508,36.3,1.4,298,21.3,4.4,1.0,2.0,0.337,1.6,后卫
凯里-欧文,7.0,0.4,3.8,19.889,0.4,2.9,4.444,2.0,0.9,9,9,330,36.7,0.6,192,21.3,4.3,1.4,2.0,0.31,3.1,后卫
卡里斯-勒维尔,3.0,0.4,3.4,14.6,0.5,1.6,5.8,2.4,0.7240000000000001,5,2,144,28.8,1.2,105,21.0,4.6,1.0,2.4,0.462,2.0,后卫
丹吉洛-拉塞尔,3.6,0.2,3.2,20.6,0.4,2.4,2.6,2.4,0.846,5,5,148,29.6,0.4,97,19.4,3.6,1.4,2.4,0.324,2.8,后卫
雷吉-杰克逊,7.0,0.0,2.0,16.25,0.4,3.0,1.75,2.25,0.857,4,4,108,27.0,1.3,71,17.8,3.3,0.8,2.25,0.429,1.3,后卫
埃里克-戈登,1.3,1.0,2.1,13.636,0.4,2.0,2.545,3.455,0.857,11,11,410,37.3,0.5,196,17.8,2.5,0.6,3.455,0.4,2.5,后卫
克里斯-保罗,5.5,0.6,5.1,13.455,0.4,3.3,4.091,1.545,0.8440000000000001,11,11,397,36.1,1.3,187,17.0,6.4,2.2,1.545,0.27,3.4,后卫
