,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
科怀-莱昂纳德,3.9,0.7,6.8,20.667,0.5,2.3,9.0,2.292,0.884,24,24,939,39.1,2.3,732,30.5,9.1,1.7,2.292,0.379,3.1,前锋
保罗-乔治,3.6,0.2,7.4,20.2,0.4,4.2,9.8,3.0,0.816,5,5,204,40.8,1.2,143,28.6,8.6,1.4,3.0,0.319,4.2,前锋
扬尼斯-阿德托昆博,4.9,2.0,9.8,17.4,0.5,3.2,11.2,1.2,0.637,15,15,514,34.3,2.4,383,25.5,12.2,1.2,1.2,0.327,3.3,前锋
布雷克-格里芬,6.0,0.0,4.0,19.5,0.5,4.5,3.5,3.0,1.0,2,2,58,29.0,2.0,49,24.5,6.0,1.0,3.0,0.462,3.0,前锋
德玛尔-德罗赞,4.6,0.1,5.3,17.0,0.5,2.3,6.2860000000000005,0.0,0.8640000000000001,7,7,251,35.9,1.4,154,22.0,6.7,1.1,0.0,0.0,1.7,前锋
乔尔-恩比德,3.4,2.3,8.5,14.455,0.4,3.1,8.182,1.091,0.8220000000000001,11,11,334,30.4,1.9,222,20.2,10.5,0.7,1.091,0.308,3.6,前锋
拉马库斯-阿尔德里奇,2.7,1.0,6.9,17.285999999999998,0.5,3.0,4.714,0.429,0.818,7,7,244,34.9,2.7,140,20.0,9.6,0.7,0.429,0.273,1.0,前锋
达尼罗-加里纳利,2.7,0.2,4.7,18.5,0.4,2.3,5.5,2.167,0.848,6,6,201,33.5,1.5,119,19.8,6.2,1.3,2.167,0.302,1.8,前锋
吉米-巴特勒,5.2,0.6,4.2,14.583,0.5,1.7,6.0,1.0,0.875,12,12,421,35.1,1.8,233,19.4,6.0,1.5,1.0,0.267,1.8,前锋
帕斯卡尔-西亚卡姆,2.8,0.7,5.5,15.958,0.5,2.8,3.625,1.208,0.759,24,24,891,37.1,1.7,455,19.0,7.1,1.0,1.208,0.279,1.4,前锋
