,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
尼古拉-约基奇,8.4,0.9,9.1,18.643,0.5,3.9,5.5710000000000015,1.571,0.846,14,14,556,39.7,3.9,352,25.1,13.0,1.1,1.571,0.393,2.6,中锋
乔尔-恩比德,3.4,2.3,8.5,14.455,0.4,3.1,8.182,1.091,0.8220000000000001,11,11,334,30.4,1.9,222,20.2,10.5,0.7,1.091,0.308,3.6,中锋
拉马库斯-阿尔德里奇,2.7,1.0,6.9,17.285999999999998,0.5,3.0,4.714,0.429,0.818,7,7,244,34.9,2.7,140,20.0,9.6,0.7,0.429,0.273,1.0,中锋
蒙特雷斯-哈雷尔,2.2,0.7,3.5,10.5,0.7,3.2,4.333,0.0,0.6920000000000001,6,0,158,26.3,2.0,110,18.3,5.5,0.5,0.0,0.0,1.3,中锋
安德鲁-德拉蒙德,2.3,1.3,8.0,13.5,0.4,4.3,5.25,0.0,0.429,4,4,127,31.8,5.0,57,14.3,13.0,1.5,0.0,0.0,2.8,中锋
艾尔-霍福德,4.4,0.8,7.6,12.222,0.4,2.3,2.0,2.0,0.833,9,9,310,34.4,1.4,125,13.9,9.0,0.4,2.0,0.409,2.1,中锋
斯蒂文-亚当斯,1.4,1.0,4.8,8.4,0.7,2.6,1.6,0.0,0.375,5,5,159,31.8,2.4,59,11.8,7.2,1.0,0.0,0.0,1.8,中锋
鲁迪-戈贝尔,1.4,2.6,5.6,6.4,0.6,3.2,4.6,0.0,0.7829999999999999,5,5,152,30.4,4.6,56,11.2,10.2,0.6,0.0,0.0,1.8,中锋
尼科拉-武切维奇,3.0,1.0,6.2,11.6,0.4,2.4,2.8,0.6,0.7859999999999999,5,5,147,29.4,1.8,56,11.2,8.0,0.4,0.6,0.231,2.6,中锋
布鲁克-洛佩兹,1.4,1.9,4.7,8.933,0.5,3.1,1.933,1.467,0.828,15,15,438,29.2,0.8,168,11.2,5.5,0.4,1.467,0.293,0.7,中锋
贾勒特艾伦,2.2,0.6,3.8,6.4,0.6,2.6,4.0,0.0,0.85,5,5,110,22.0,3.0,55,11.0,6.8,0.6,0.0,0.0,1.6,中锋
迈尔斯-特纳,1.5,1.8,5.3,8.75,0.4,3.5,3.25,0.75,0.615,4,4,126,31.5,1.0,39,9.8,6.3,0.0,0.75,0.214,0.8,中锋
克林特-卡佩拉,1.5,1.1,6.5,7.455,0.6,2.4,3.182,0.0,0.429,11,11,331,30.1,3.7,107,9.7,10.3,0.3,0.0,0.0,1.5,中锋
多曼塔斯-萨博尼斯,4.0,0.3,5.5,7.25,0.4,3.0,3.5,0.25,0.643,4,0,96,24.0,1.8,34,8.5,7.3,0.8,0.25,0.25,1.3,中锋
阿隆-贝恩斯,0.3,0.2,2.1,1.556,0.6,2.2,0.222,0.222,0.5,9,5,115,12.8,0.7,19,2.1,2.8,0.3,0.222,0.333,0.6,中锋
丹尼尔-泰斯,0.0,0.1,0.9,2.0,0.4,0.6,0.28600000000000003,0.0,1.0,7,0,42,6.0,0.6,12,1.7,1.4,0.1,0.0,0.0,0.1,中锋
