cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
凯文-杜兰特,4.5,1.0,4.8,20.25,0.5,3.2,9.417,2.917,0.903,12,12,442,36.8,0.1,387,32.3,4.9,1.1,2.917,0.43799999999999994,3.6
詹姆斯-哈登,6.6,0.9,6.0,24.0,0.4,3.7,8.908999999999999,4.364,0.8370000000000001,11,11,424,38.5,0.8,348,31.6,6.8,2.2,4.364,0.35,4.6
科怀-莱昂纳德,3.9,0.7,6.8,20.666999999999998,0.5,2.3,9.0,2.292,0.884,24,24,939,39.1,2.3,732,30.5,9.1,1.7,2.292,0.379,3.1
保罗-乔治,3.6,0.2,7.4,20.2,0.4,4.2,9.8,3.0,0.816,5,5,204,40.8,1.2,143,28.6,8.6,1.4,3.0,0.319,4.2
斯蒂芬-库里,5.7,0.2,5.2,19.590999999999998,0.4,3.1,7.136,4.1819999999999995,0.943,22,22,846,38.5,0.8,620,28.2,6.0,1.1,4.1819999999999995,0.377,3.0
达米安-利拉德,6.6,0.3,4.3,20.625,0.4,2.5,7.125,3.688,0.833,16,16,650,40.6,0.5,430,26.9,4.8,1.7,3.688,0.373,3.8
扬尼斯-阿德托昆博,4.9,2.0,9.8,17.4,0.5,3.2,11.2,1.2,0.637,15,15,514,34.3,2.4,383,25.5,12.2,1.2,1.2,0.327,3.3
尼古拉-约基奇,8.4,0.9,9.1,18.643,0.5,3.9,5.571000000000001,1.571,0.846,14,14,556,39.7,3.9,352,25.1,13.0,1.1,1.571,0.39299999999999996,2.6
C.J.麦科勒姆,3.7,0.6,4.1,21.875,0.4,2.1,3.5,2.875,0.732,16,16,635,39.7,0.9,395,24.7,5.0,0.8,2.875,0.39299999999999996,1.9
布雷克-格里芬,6.0,0.0,4.0,19.5,0.5,4.5,3.5,3.0,1.0,2,2,58,29.0,2.0,49,24.5,6.0,1.0,3.0,0.462,3.0
拉塞尔-韦斯布鲁克,10.6,0.6,7.6,22.2,0.4,3.8,5.2,2.2,0.885,5,5,197,39.4,1.4,114,22.8,9.0,1.0,2.2,0.324,4.6
德玛尔-德罗赞,4.6,0.1,5.3,17.0,0.5,2.3,6.2860000000000005,0.0,0.8640000000000001,7,7,251,35.9,1.4,154,22.0,6.7,1.1,0.0,0.0,1.7
路易斯-威廉姆斯,7.7,0.2,1.8,17.333,0.4,2.3,6.832999999999999,1.0,0.8290000000000001,6,0,176,29.3,1.0,130,21.7,2.8,0.8,1.0,0.33299999999999996,3.0
多诺万米切尔,3.2,0.2,3.6,22.4,0.3,3.0,6.6,2.2,0.727,5,5,193,38.6,1.4,107,21.4,5.0,1.6,2.2,0.256,4.2
贾马尔-穆雷,4.7,0.1,3.0,18.0,0.4,1.7,4.428999999999999,2.0,0.903,14,14,508,36.3,1.4,298,21.3,4.4,1.0,2.0,0.337,1.6
凯里-欧文,7.0,0.4,3.8,19.889,0.4,2.9,4.444,2.0,0.9,9,9,330,36.7,0.6,192,21.3,4.3,1.4,2.0,0.31,3.1
卡里斯-勒维尔,3.0,0.4,3.4,14.6,0.5,1.6,5.8,2.4,0.7240000000000001,5,2,144,28.8,1.2,105,21.0,4.6,1.0,2.4,0.462,2.0
克雷-汤普森,2.1,0.7,3.5,17.143,0.5,2.8,1.952,3.333,0.902,21,21,818,39.0,0.6,435,20.7,4.1,1.3,3.333,0.44299999999999995,1.8
乔尔-恩比德,3.4,2.3,8.5,14.455,0.4,3.1,8.182,1.091,0.8220000000000001,11,11,334,30.4,1.9,222,20.2,10.5,0.7,1.091,0.308,3.6
拉马库斯-阿尔德里奇,2.7,1.0,6.9,17.285999999999998,0.5,3.0,4.7139999999999995,0.429,0.818,7,7,244,34.9,2.7,140,20.0,9.6,0.7,0.429,0.273,1.0
达尼罗-加里纳利,2.7,0.2,4.7,18.5,0.4,2.3,5.5,2.167,0.848,6,6,201,33.5,1.5,119,19.8,6.2,1.3,2.167,0.302,1.8
吉米-巴特勒,5.2,0.6,4.2,14.583,0.5,1.7,6.0,1.0,0.875,12,12,421,35.1,1.8,233,19.4,6.0,1.5,1.0,0.267,1.8
丹吉洛-拉塞尔,3.6,0.2,3.2,20.6,0.4,2.4,2.6,2.4,0.846,5,5,148,29.6,0.4,97,19.4,3.6,1.4,2.4,0.324,2.8
帕斯卡尔-西亚卡姆,2.8,0.7,5.5,15.958,0.5,2.8,3.625,1.208,0.759,24,24,891,37.1,1.7,455,19.0,7.1,1.0,1.208,0.27899999999999997,1.4
蒙特雷斯-哈雷尔,2.2,0.7,3.5,10.5,0.7,3.2,4.333,0.0,0.6920000000000001,6,0,158,26.3,2.0,110,18.3,5.5,0.5,0.0,0.0,1.3
博扬-博格达诺维奇,2.8,0.0,5.0,15.75,0.4,1.8,4.25,1.75,0.882,4,4,148,37.0,0.8,72,18.0,5.8,2.0,1.75,0.318,1.5
雷吉-杰克逊,7.0,0.0,2.0,16.25,0.4,3.0,1.75,2.25,0.857,4,4,108,27.0,1.3,71,17.8,3.3,0.8,2.25,0.429,1.3
埃里克-戈登,1.3,1.0,2.1,13.636,0.4,2.0,2.545,3.455,0.857,11,11,410,37.3,0.5,196,17.8,2.5,0.6,3.455,0.4,2.5
克里斯-保罗,5.5,0.6,5.1,13.455,0.4,3.3,4.091,1.545,0.8440000000000001,11,11,397,36.1,1.3,187,17.0,6.4,2.2,1.545,0.27,3.4
克里斯-米德尔顿,4.4,0.0,5.7,13.4,0.4,2.9,3.467,2.667,0.885,15,15,515,34.3,0.6,254,16.9,6.3,0.6,2.667,0.435,1.9
托拜亚斯-哈里斯,4.0,0.5,8.2,13.917,0.4,2.5,2.167,1.8330000000000002,0.846,12,12,443,36.9,1.0,186,15.5,9.2,1.1,1.8330000000000002,0.349,1.7
里基-卢比奥,8.6,0.2,2.6,13.2,0.4,2.8,4.0,0.8,0.85,5,5,168,33.6,0.6,77,15.4,3.2,2.4,0.8,0.2,3.0
泰瑞克-埃文斯,0.8,0.3,4.3,12.0,0.4,2.0,3.5,2.75,0.5710000000000001,4,0,84,21.0,0.0,61,15.3,4.3,0.8,2.75,0.55,1.5
阿隆-戈登,3.6,0.2,5.0,12.4,0.5,3.2,3.8,1.6,0.526,5,5,164,32.8,2.2,76,15.2,7.2,1.2,1.6,0.4,2.6
杰森-塔图姆,1.9,0.8,5.9,12.444,0.4,2.3,4.333,1.111,0.7440000000000001,9,9,295,32.8,0.8,137,15.2,6.7,1.1,1.111,0.32299999999999995,2.0
德里克-怀特,3.0,0.7,2.9,10.714,0.5,2.4,3.714,0.7140000000000001,0.731,7,7,191,27.3,0.1,106,15.1,3.0,0.7,0.7140000000000001,0.294,2.1
卢克-肯纳德,1.8,0.3,4.0,11.75,0.5,1.5,1.5,2.25,0.833,4,2,133,33.3,0.0,60,15.0,4.0,0.8,2.25,0.6,0.8
凯尔-洛瑞,6.6,0.3,4.0,11.542,0.4,4.0,3.375,2.167,0.802,24,24,900,37.5,0.9,361,15.0,4.9,1.3,2.167,0.359,2.3
保罗-米尔萨普,0.8,1.1,5.0,11.142999999999999,0.5,3.4,4.357,0.857,0.77,14,14,469,33.5,1.7,205,14.6,6.7,0.9,0.857,0.316,1.3
斯宾瑟-丁威迪,1.6,0.0,1.8,12.4,0.4,2.0,2.8,1.8,0.7140000000000001,5,0,131,26.2,0.8,73,14.6,2.6,0.4,1.8,0.375,1.6
安德鲁-德拉蒙德,2.3,1.3,8.0,13.5,0.4,4.3,5.25,0.0,0.429,4,4,127,31.8,5.0,57,14.3,13.0,1.5,0.0,0.0,2.8
加里-哈里斯,2.3,0.6,3.5,11.286,0.5,2.7,2.714,1.429,0.868,14,14,517,36.9,0.6,199,14.2,4.1,0.9,1.429,0.35100000000000003,0.8
杰伦-布朗,1.1,0.2,5.1,9.667,0.5,3.3,3.333,1.556,0.767,9,9,274,30.4,0.7,125,13.9,5.8,0.7,1.556,0.35,1.8
本-西蒙斯,6.0,1.0,5.1,9.667,0.6,3.8,3.333,0.0,0.575,12,12,421,35.1,1.9,167,13.9,7.0,1.3,0.0,0.0,2.7
艾尔-霍福德,4.4,0.8,7.6,12.222000000000001,0.4,2.3,2.0,2.0,0.833,9,9,310,34.4,1.4,125,13.9,9.0,0.4,2.0,0.409,2.1
丹尼斯-施罗德,3.4,0.0,2.8,11.0,0.5,2.2,3.6,1.2,0.722,5,0,151,30.2,0.4,69,13.8,3.2,0.8,1.2,0.3,1.2
埃里克-布莱德索,4.3,0.4,2.4,12.333,0.4,1.9,3.4,1.133,0.706,15,15,423,28.2,1.3,205,13.7,3.7,1.1,1.133,0.23600000000000002,2.1
亚历山大,3.2,0.8,2.0,10.0,0.5,2.8,3.333,1.5,0.85,6,6,173,28.8,0.7,82,13.7,2.7,1.0,1.5,0.5,0.8
马库斯-莫里斯,1.2,0.6,6.8,8.777999999999999,0.5,2.4,3.444,2.0,0.742,9,4,254,28.2,1.3,123,13.7,8.1,0.1,2.0,0.45,0.8
JJ-雷迪克,1.6,0.3,1.3,10.333,0.4,2.7,1.6669999999999998,3.0,0.85,12,12,375,31.3,0.2,161,13.4,1.5,0.1,3.0,0.414,1.8
德雷蒙德-格林,8.5,1.5,8.3,10.409,0.5,3.9,3.227,0.591,0.718,22,22,850,38.6,1.9,292,13.3,10.1,1.5,0.591,0.228,3.8
朗戴 霍利斯-杰弗森,1.5,1.3,2.3,8.25,0.5,1.8,6.25,0.25,0.8,4,0,62,15.5,0.8,53,13.3,3.0,0.3,0.25,1.0,0.8
特伦斯-罗斯,1.4,0.4,3.4,10.8,0.4,2.0,3.4,2.4,0.8240000000000001,5,0,146,29.2,0.2,66,13.2,3.6,1.2,2.4,0.34299999999999997,2.0
马尔科姆-布罗格登,3.4,0.1,4.0,11.142999999999999,0.4,2.3,1.571,2.0,0.636,7,2,198,28.3,0.9,91,13.0,4.9,0.7,2.0,0.37799999999999995,1.4
D.J.奥古斯丁,3.8,0.2,1.4,8.2,0.5,1.4,3.2,2.0,0.875,5,5,141,28.2,0.2,64,12.8,1.6,0.4,2.0,0.47600000000000003,1.4
伊万-福尼耶,2.0,0.0,2.6,13.8,0.3,2.8,1.6,1.6,0.75,5,5,175,35.0,0.6,62,12.4,3.2,1.4,1.6,0.235,2.4
达伦-科里森,4.0,0.0,2.0,11.25,0.4,2.8,1.5,1.0,1.0,4,4,117,29.3,1.0,48,12.0,3.0,0.5,1.0,0.364,2.5
斯蒂文-亚当斯,1.4,1.0,4.8,8.4,0.7,2.6,1.6,0.0,0.375,5,5,159,31.8,2.4,59,11.8,7.2,1.0,0.0,0.0,1.8
德里克-费沃斯,0.8,1.8,4.4,7.2,0.6,2.4,3.8,0.0,0.684,5,2,103,20.6,3.0,59,11.8,7.4,0.8,0.0,0.0,1.0
杰拉米-格兰特,0.8,2.0,4.2,8.0,0.5,2.6,2.6,1.8,0.6920000000000001,5,5,176,35.2,1.2,58,11.6,5.4,0.6,1.8,0.45,0.8
乔治-希尔,2.8,0.3,2.5,7.867000000000001,0.5,2.3,2.2,1.3330000000000002,0.818,15,0,395,26.3,1.0,173,11.5,3.5,0.8,1.3330000000000002,0.41700000000000004,0.4
伊内斯-坎特,1.2,0.6,6.4,9.125,0.5,2.3,2.563,0.063,0.7559999999999999,16,14,461,28.8,3.3,182,11.4,9.6,0.7,0.063,0.25,1.6
PJ-塔克,1.7,0.7,5.7,8.0,0.5,3.2,2.0909999999999997,2.364,0.826,11,11,426,38.7,1.7,125,11.4,7.5,1.7,2.364,0.456,0.7
贾伊-克劳德,0.8,0.0,5.0,9.2,0.4,1.4,3.8,1.8,0.737,5,3,130,26.0,0.8,57,11.4,5.8,1.0,1.8,0.3,0.2
鲁迪-戈贝尔,1.4,2.6,5.6,6.4,0.6,3.2,4.6,0.0,0.7829999999999999,5,5,152,30.4,4.6,56,11.2,10.2,0.6,0.0,0.0,1.8
尼科拉-武切维奇,3.0,1.0,6.2,11.6,0.4,2.4,2.8,0.6,0.7859999999999999,5,5,147,29.4,1.8,56,11.2,8.0,0.4,0.6,0.231,2.6
布鲁克-洛佩兹,1.4,1.9,4.7,8.933,0.5,3.1,1.933,1.4669999999999999,0.828,15,15,438,29.2,0.8,168,11.2,5.5,0.4,1.4669999999999999,0.293,0.7
鲁迪-盖伊,1.7,0.7,5.3,10.0,0.4,1.9,2.4290000000000003,1.143,0.8240000000000001,7,0,178,25.4,1.9,78,11.1,7.1,0.4,1.143,0.42100000000000004,1.4
贾勒特艾伦,2.2,0.6,3.8,6.4,0.6,2.6,4.0,0.0,0.85,5,5,110,22.0,3.0,55,11.0,6.8,0.6,0.0,0.0,1.6
贾麦考-格林,0.8,0.0,4.3,7.167000000000001,0.5,3.7,1.6669999999999998,2.0,0.8,6,3,141,23.5,1.0,66,11.0,5.3,0.7,2.0,0.522,1.8
布林-福布斯,1.0,0.1,3.4,8.0,0.5,2.0,1.286,2.1430000000000002,0.667,7,7,212,30.3,0.1,75,10.7,3.6,0.1,2.1430000000000002,0.484,0.4
罗伊斯 奥尼尔,1.6,0.4,4.2,9.0,0.5,3.0,0.8,1.6,0.75,5,0,137,27.4,0.4,53,10.6,4.6,0.4,1.6,0.348,2.0
赛迪斯-杨,3.8,0.8,4.8,10.5,0.4,2.5,1.75,0.5,0.5710000000000001,4,4,130,32.5,2.3,42,10.5,7.0,2.8,0.5,0.25,1.3
罗德尼-胡德,0.9,0.2,1.7,6.938,0.5,1.8,2.75,1.125,0.818,16,0,373,23.3,0.6,158,9.9,2.3,0.4,1.125,0.353,0.4
帕特里克-贝弗利,4.7,1.0,6.7,7.832999999999999,0.4,3.5,1.3330000000000002,2.167,0.75,6,6,195,32.5,1.3,59,9.8,8.0,1.0,2.167,0.433,1.7
迈尔斯-特纳,1.5,1.8,5.3,8.75,0.4,3.5,3.25,0.75,0.615,4,4,126,31.5,1.0,39,9.8,6.3,0.0,0.75,0.214,0.8
安德鲁-伊格达拉,4.0,1.1,3.0,7.905,0.5,2.0,1.7619999999999998,1.3330000000000002,0.37799999999999995,21,15,629,30.0,1.3,206,9.8,4.3,1.1,1.3330000000000002,0.35,1.0
克林特-卡佩拉,1.5,1.1,6.5,7.455,0.6,2.4,3.182,0.0,0.429,11,11,331,30.1,3.7,107,9.7,10.3,0.3,0.0,0.0,1.5
戈登-海沃德,2.4,0.3,3.7,7.778,0.4,1.8,2.1109999999999998,1.0,1.0,9,0,267,29.7,0.3,86,9.6,4.0,0.7,1.0,0.375,1.6
