,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
乔尔-恩比德,3.7,1.9,11.1,18.734,0.5,3.3,10.141,1.234,0.804,64,64,2154,33.7,2.5,1761,27.5,13.6,0.7,1.234,0.3,3.5,中锋
安东尼-戴维斯,3.9,2.4,8.9,18.321,0.5,2.4,7.732,0.857,0.794,56,56,1850,33.0,3.1,1452,25.9,12.0,1.6,0.857,0.331,2.0,中锋
卡尔-安东尼-唐斯,3.3,1.7,8.8,16.953,0.5,3.8,5.7189999999999985,1.922,0.836,64,64,2127,33.2,3.4,1565,24.5,12.3,0.9,1.922,0.405,2.9,中锋
朱利叶斯-兰德尔,3.1,0.6,6.5,14.918,0.5,3.4,6.671,0.918,0.731,73,49,2232,30.6,2.2,1565,21.4,8.7,0.7,0.918,0.344,2.8,中锋
拉马库斯-阿尔德里奇,2.4,1.3,6.1,16.284000000000002,0.5,2.2,5.086,0.123,0.847,81,81,2687,33.2,3.1,1727,21.3,9.2,0.5,0.123,0.238,1.8,中锋
尼科拉-武切维奇,4.0,1.2,9.3,16.652,0.5,1.9,2.682,1.091,0.768,66,66,2062,31.2,2.8,1358,20.6,12.0,1.0,1.091,0.387,2.0,中锋
尼古拉-约基奇,7.3,0.7,8.0,15.075,0.5,2.9,4.4,1.038,0.821,80,80,2504,31.3,2.9,1604,20.1,10.8,1.4,1.038,0.307,3.1,中锋
约翰-科林斯,2.0,0.6,6.2,13.623,0.6,3.3,4.3610000000000015,0.902,0.763,61,59,1828,30.0,3.6,1188,19.5,9.8,0.4,0.902,0.348,2.0,中锋
劳里-马尔卡宁,1.4,0.6,7.6,15.288,0.4,2.3,3.75,2.3080000000000003,0.872,52,51,1682,32.3,1.4,974,18.7,9.0,0.7,2.3080000000000003,0.361,1.6,中锋
安德鲁-德拉蒙德,1.4,1.7,10.2,13.316,0.5,3.4,5.215,0.063,0.59,79,79,2647,33.5,5.4,1370,17.3,15.6,1.7,0.063,0.132,2.2,中锋
凯文-乐福,2.2,0.2,9.4,12.864,0.4,2.5,5.182,2.4090000000000003,0.904,22,21,598,27.2,1.5,374,17.0,10.9,0.3,2.4090000000000003,0.361,1.9,中锋
克林特-卡佩拉,1.4,1.5,8.2,10.925,0.6,2.5,3.896,0.0,0.636,67,67,2249,33.6,4.4,1114,16.6,12.7,0.7,0.0,0.0,1.4,中锋
蒙特雷斯-哈雷尔,2.0,1.3,4.3,10.829,0.6,3.1,5.049,0.037000000000000005,0.643,82,5,2158,26.3,2.2,1361,16.6,6.5,0.9,0.037000000000000005,0.17600000000000002,1.6,中锋
德安德烈-艾顿,1.8,0.9,7.1,12.254,0.6,2.9,2.662,0.0,0.746,71,70,2183,30.7,3.1,1159,16.3,10.3,0.9,0.0,0.0,1.8,中锋
鲁迪-戈贝尔,2.0,2.3,9.0,8.79,0.7,2.9,6.444,0.0,0.636,81,80,2577,31.8,3.8,1284,15.9,12.9,0.8,0.0,0.0,1.6,中锋
尤纳斯-瓦兰丘纳斯,1.4,1.1,6.4,10.98,0.6,3.0,3.776,0.28600000000000003,0.795,49,27,1091,22.3,2.2,763,15.6,8.6,0.4,0.28600000000000003,0.292,1.8,中锋
尤素夫-努尔基奇,3.2,1.4,7.0,11.472,0.5,3.5,5.069,0.042,0.773,72,72,1974,27.4,3.4,1125,15.6,10.4,1.0,0.042,0.103,2.3,中锋
多曼塔斯-萨博尼斯,2.9,0.4,6.8,9.459,0.6,3.2,3.932,0.122,0.715,74,5,1838,24.8,2.5,1043,14.1,9.3,0.6,0.122,0.529,2.2,中锋
斯蒂文-亚当斯,1.6,1.0,4.6,10.113,0.6,2.6,3.65,0.0,0.5,80,80,2669,33.4,4.9,1108,13.9,9.5,1.5,0.0,0.0,1.7,中锋
贾伦-杰克逊,1.1,1.4,3.4,10.155,0.5,3.8,3.397,0.879,0.7659999999999999,58,56,1515,26.1,1.3,798,13.8,4.7,0.9,0.879,0.359,1.7,中锋
艾尔-霍福德,4.2,1.3,5.0,10.632,0.5,1.9,1.3969999999999998,1.074,0.821,68,68,1973,29.0,1.8,925,13.6,6.7,0.9,1.074,0.36,1.5,中锋
迈尔斯-特纳,1.6,2.7,5.8,10.541,0.5,2.6,2.716,1.027,0.736,74,74,2119,28.6,1.4,984,13.3,7.2,0.8,1.027,0.388,1.4,中锋
布鲁克-洛佩兹,1.2,2.2,4.5,9.704,0.5,2.3,1.642,2.309,0.8420000000000001,81,81,2322,28.7,0.4,1009,12.5,4.9,0.6,2.309,0.365,1.0,中锋
哈桑-怀特塞德,0.8,1.9,7.8,9.444,0.6,2.7,3.375,0.028,0.449,72,53,1674,23.3,3.6,887,12.3,11.3,0.6,0.028,0.125,1.3,中锋
达里奥-萨里奇,2.0,0.2,5.0,10.154,0.4,3.0,2.3080000000000003,1.615,0.9,13,13,396,30.5,1.6,144,11.1,6.6,0.3,1.615,0.3,1.9,中锋
贾勒特艾伦,1.4,1.5,6.0,7.1,0.6,2.3,3.475,0.075,0.7090000000000001,80,80,2096,26.2,2.4,873,10.9,8.4,0.5,0.075,0.133,1.3,中锋
特里斯坦-汤普森,2.0,0.4,6.2,8.837,0.5,2.1,2.465,0.0,0.642,43,40,1198,27.9,4.0,470,10.9,10.2,0.7,0.0,0.0,1.4,中锋
德怀特-鲍威尔,1.5,0.6,3.5,6.312,0.6,2.6,3.299,0.506,0.772,77,22,1663,21.6,1.8,815,10.6,5.3,0.6,0.506,0.307,0.9,中锋
托马斯-布莱恩特,1.3,0.9,4.7,6.972,0.6,1.8,1.903,0.458,0.7809999999999999,72,53,1496,20.8,1.6,758,10.5,6.3,0.3,0.458,0.333,0.8,中锋
温德尔-卡特,1.8,1.3,5.0,8.432,0.5,3.5,2.545,0.136,0.795,44,44,1110,25.2,2.0,455,10.3,7.0,0.6,0.136,0.188,1.5,中锋
科迪-泽勒,2.1,0.8,4.6,7.041,0.6,3.3,2.878,0.122,0.787,49,47,1243,25.4,2.2,497,10.1,6.8,0.8,0.122,0.273,1.3,中锋
小拉里-南斯,3.2,0.6,5.7,7.149,0.5,2.9,2.0,0.493,0.716,67,30,1795,26.8,2.5,627,9.4,8.2,1.5,0.493,0.337,1.4,中锋
