cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
詹姆斯-哈登,7.5,0.7,5.8,24.474,0.4,3.1,11.0,4.846,0.879,78,78,2867,36.8,0.8,2818,36.1,6.6,2.0,4.846,0.368,5.0
保罗-乔治,4.1,0.4,6.8,20.961,0.4,2.8,7.013,3.792,0.8390000000000001,77,77,2841,36.9,1.4,2159,28.0,8.2,2.2,3.792,0.386,2.7
扬尼斯-阿德托昆博,5.9,1.5,10.3,17.319000000000003,0.6,3.2,9.527999999999999,0.722,0.7290000000000001,72,72,2358,32.8,2.2,1994,27.7,12.5,1.3,0.722,0.256,3.7
乔尔-恩比德,3.7,1.9,11.1,18.734,0.5,3.3,10.141,1.234,0.804,64,64,2154,33.7,2.5,1761,27.5,13.6,0.7,1.234,0.3,3.5
勒布朗-詹姆斯,8.3,0.6,7.4,19.909000000000002,0.5,1.7,7.6,2.0180000000000002,0.665,55,55,1937,35.2,1.0,1505,27.4,8.5,1.3,2.0180000000000002,0.33899999999999997,3.6
斯蒂芬-库里,5.2,0.4,4.7,19.42,0.5,2.4,4.159,5.13,0.9159999999999999,69,69,2331,33.8,0.7,1881,27.3,5.3,1.3,5.13,0.43700000000000006,2.8
德文-布克,6.8,0.2,3.5,19.609,0.5,3.1,7.093999999999999,2.109,0.866,64,64,2242,35.0,0.6,1700,26.6,4.1,0.9,2.109,0.326,4.1
科怀-莱昂纳德,3.3,0.4,6.0,18.817,0.5,1.5,7.1,1.867,0.8540000000000001,60,60,2040,34.0,1.3,1596,26.6,7.3,1.8,1.867,0.371,2.0
凯文-杜兰特,5.9,1.1,5.9,17.730999999999998,0.5,2.0,6.487,1.756,0.885,78,78,2702,34.6,0.4,2027,26.0,6.4,0.7,1.756,0.353,2.9
安东尼-戴维斯,3.9,2.4,8.9,18.320999999999998,0.5,2.4,7.732,0.857,0.794,56,56,1850,33.0,3.1,1452,25.9,12.0,1.6,0.857,0.331,2.0
