,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
0,512,7.500,60,0.900,詹姆斯-哈登,376,5.500,22,0.000,0,James Harden,1514,22.265,672,0,0.4,0,227,3.300,800,11.765,692,4.397,0,0.865,68,68,13,2483,36.5,70,1.000,4563,2335,34.300,446,6.600,2019,1,125,1.800,0,10,火箭,843,12.397,299,4.397,0,0.355,4,308,4.500
1,347,6.100,23,0.400,布拉德利-比尔,190,3.300,8,0.000,0,Bradley Beal,1303,22.860,593,0,0.5,0,126,2.200,457,8.018,385,2.982,0,0.842,57,57,3,2053,36.0,52,0.900,5009,1741,30.500,242,4.200,2019,1,71,1.200,0,27,奇才,481,8.439,170,2.982,0,0.353,0,194,3.400
2,530,8.000,22,0.300,达米安-利拉德,251,3.800,19,0.000,0,Damian Lillard,1349,20.439,624,0,0.5,0,114,1.700,518,7.848,460,4.091,0,0.888,66,66,0,2474,37.5,33,0.500,5012,1978,30.000,284,4.300,2019,1,70,1.100,0,22,开拓者,674,10.212,270,4.091,0,0.401,1,194,2.900
3,560,9.300,8,0.100,特雷-杨,223,3.700,28,0.000,0,Trae Young,1249,20.817,546,0,0.4,0,104,1.700,559,9.317,481,3.417,0,0.860,60,60,11,2120,35.3,32,0.500,1962938087,1778,29.600,255,4.300,2019,1,65,1.100,0,1,老鹰,568,9.467,205,3.417,0,0.361,2,289,4.800
4,354,5.600,66,1.000,扬尼斯-阿德托昆博,716,11.400,56,0.000,0,Giannis Antetokounmpo,1238,19.651,685,0,0.6,0,195,3.100,629,9.984,398,1.413,0,0.633,63,63,34,1917,30.4,140,2.200,5185,1857,29.500,856,13.600,2019,1,61,1.000,0,15,雄鹿,293,4.651,89,1.413,0,0.304,4,230,3.700
5,538,8.800,14,0.200,卢卡-多西奇,495,8.100,39,0.000,0,Luka Doncic,1255,20.574,581,0,0.5,0,153,2.500,562,9.213,426,2.803,0,0.758,61,61,77,2047,33.6,78,1.300,5721,1759,28.800,573,9.400,2019,1,62,1.000,0,6,独行侠,541,8.869,171,2.803,0,0.316,17,260,4.300
6,128,6.400,10,0.500,凯里-欧文,81,4.100,3,0.000,0,Kyrie Irving,416,20.800,199,0,0.5,0,53,2.700,102,5.100,94,2.800,0,0.922,20,20,11,658,32.9,22,1.100,4840,548,27.400,103,5.200,2019,1,27,1.400,0,17,篮网,142,7.100,56,2.800,0,0.394,1,52,2.600
7,401,7.000,20,0.400,拉塞尔-韦斯布鲁克,351,6.200,22,0.000,0,Russell Westbrook,1281,22.474,604,0,0.5,0,200,3.500,380,6.667,290,0.965,0,0.763,57,57,4,2049,35.9,100,1.800,4390,1553,27.200,451,7.900,2019,1,93,1.600,0,10,火箭,213,3.737,55,0.965,0,0.258,8,255,4.500
8,280,4.900,33,0.600,科怀-莱昂纳德,348,6.100,13,0.000,0,Kawhi Leonard,1133,19.877,532,0,0.5,0,113,2.000,402,7.053,356,2.158,0,0.886,57,57,2,1848,32.4,54,0.900,4896,1543,27.100,402,7.100,2019,1,103,1.800,0,12,快船,325,5.702,123,2.158,0,0.378,1,149,2.600
9,456,6.500,18,0.300,德文-布克,268,3.800,11,0.000,0,Devin Booker,1283,18.329,627,0,0.5,0,213,3.000,509,7.271,468,2.014,0,0.919,70,70,1,2512,35.9,29,0.400,5547,1863,26.600,297,4.200,2019,1,49,0.700,0,21,太阳,398,5.686,141,2.014,0,0.354,0,264,3.800
