,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
詹姆斯-哈登,7.5,0.9,5.5,22.265,0.4,3.3,11.765,4.397,0.865,68,68,2483,36.5,1.0,2335,34.3,6.6,1.8,4.397,0.355,4.5,后卫
布拉德利-比尔,6.1,0.4,3.3,22.86,0.5,2.2,8.017999999999999,2.982,0.8420000000000001,57,57,2053,36.0,0.9,1741,30.5,4.2,1.2,2.982,0.353,3.4,后卫
达米安-利拉德,8.0,0.3,3.8,20.439,0.5,1.7,7.848,4.091,0.888,66,66,2474,37.5,0.5,1978,30.0,4.3,1.1,4.091,0.401,2.9,后卫
特雷-杨,9.3,0.1,3.7,20.817,0.4,1.7,9.317,3.417,0.86,60,60,2120,35.3,0.5,1778,29.6,4.3,1.1,3.417,0.361,4.8,后卫
卢卡-多西奇,8.8,0.2,8.1,20.574,0.5,2.5,9.213,2.803,0.758,61,61,2047,33.6,1.3,1759,28.8,9.4,1.0,2.803,0.316,4.3,后卫
凯里-欧文,6.4,0.5,4.1,20.8,0.5,2.7,5.1,2.8,0.922,20,20,658,32.9,1.1,548,27.4,5.2,1.4,2.8,0.394,2.6,后卫
拉塞尔-韦斯布鲁克,7.0,0.4,6.2,22.474,0.5,3.5,6.667000000000002,0.965,0.763,57,57,2049,35.9,1.8,1553,27.2,7.9,1.6,0.965,0.258,4.5,后卫
德文-布克,6.5,0.3,3.8,18.329,0.5,3.0,7.271,2.014,0.919,70,70,2512,35.9,0.4,1863,26.6,4.2,0.7,2.014,0.354,3.8,后卫
扎克-拉文,4.2,0.5,4.1,19.983,0.4,2.2,5.567,3.067,0.802,60,60,2085,34.8,0.7,1530,25.5,4.8,1.5,3.067,0.38,3.4,后卫
多诺万米切尔,4.3,0.2,3.6,19.449,0.4,2.5,4.667,2.507,0.863,69,69,2364,34.3,0.8,1655,24.0,4.4,1.0,2.507,0.366,2.7,后卫
杰森-塔图姆,3.0,0.9,6.0,18.576,0.4,2.1,4.742,2.864,0.812,66,66,2265,34.3,1.0,1547,23.4,7.0,1.4,2.864,0.403,2.3,后卫
丹吉洛-拉塞尔,6.3,0.3,3.6,18.8,0.4,1.9,4.422,3.511,0.809,45,45,1452,32.3,0.4,1039,23.1,3.9,1.1,3.511,0.3670000000000001,3.3,后卫
C.J.麦科勒姆,4.4,0.6,3.6,19.371,0.5,2.6,2.643,2.7710000000000004,0.757,70,70,2557,36.5,0.7,1556,22.2,4.2,0.8,2.7710000000000004,0.379,1.8,后卫
德玛尔-德罗赞,5.6,0.3,4.9,15.425999999999998,0.5,2.6,6.6320000000000014,0.132,0.845,68,68,2316,34.1,0.6,1504,22.1,5.5,1.0,0.132,0.257,2.4,后卫
德阿龙-福克斯,6.8,0.5,3.2,15.98,0.5,2.8,6.706,1.0590000000000002,0.705,51,49,1634,32.0,0.7,1077,21.1,3.8,1.5,1.0590000000000002,0.292,3.1,后卫
科林-塞克斯顿,3.0,0.1,2.2,16.708,0.5,2.2,4.1080000000000005,1.492,0.846,65,65,2143,33.0,0.9,1349,20.8,3.1,1.0,1.492,0.38,2.4,后卫
斯蒂芬-库里,6.6,0.4,4.4,16.4,0.4,2.2,5.2,2.4,1.0,5,5,139,27.8,0.8,104,20.8,5.2,1.0,2.4,0.245,3.2,后卫
斯宾瑟-丁威迪,6.8,0.3,3.0,15.953,0.4,2.8,6.9689999999999985,1.922,0.778,64,49,1994,31.2,0.5,1318,20.6,3.5,0.6,1.922,0.308,2.7,后卫
肯巴-沃克,4.8,0.5,3.2,15.875,0.4,1.6,4.3210000000000015,3.214,0.8640000000000001,56,56,1742,31.1,0.6,1145,20.4,3.9,0.9,3.214,0.381,2.1,后卫
杰伦-布朗,2.1,0.4,5.3,15.561,0.5,2.9,4.263,2.263,0.7240000000000001,57,57,1934,33.9,1.1,1159,20.3,6.4,1.1,2.263,0.382,2.2,后卫
