,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
扬尼斯-阿德托昆博,5.6,1.0,11.4,19.651,0.6,3.1,9.984,1.413,0.633,63,63,1917,30.4,2.2,1857,29.5,13.6,1.0,1.413,0.304,3.7,前锋
卢卡-多西奇,8.8,0.2,8.1,20.574,0.5,2.5,9.213,2.803,0.758,61,61,2047,33.6,1.3,1759,28.8,9.4,1.0,2.803,0.316,4.3,前锋
科怀-莱昂纳德,4.9,0.6,6.1,19.877,0.5,2.0,7.053,2.158,0.8859999999999999,57,57,1848,32.4,0.9,1543,27.1,7.1,1.8,2.158,0.378,2.6,前锋
卡尔-安东尼-唐斯,4.4,1.2,8.1,17.771,0.5,3.3,6.457000000000002,3.257,0.7959999999999999,35,35,1187,33.9,2.7,926,26.5,10.8,0.9,3.257,0.412,3.1,前锋
安东尼-戴维斯,3.2,2.3,7.0,17.677,0.5,2.5,8.468,1.161,0.846,62,62,2131,34.4,2.3,1618,26.1,9.3,1.5,1.161,0.33,2.5,前锋
扎克-拉文,4.2,0.5,4.1,19.983,0.4,2.2,5.567,3.067,0.802,60,60,2085,34.8,0.7,1530,25.5,4.8,1.5,3.067,0.38,3.4,前锋
勒布朗-詹姆斯,10.2,0.5,6.9,19.448,0.5,1.8,5.687,2.209,0.693,67,67,2316,34.6,1.0,1698,25.3,7.8,1.2,2.209,0.348,3.9,前锋
布兰登-英格拉姆,4.2,0.6,5.3,17.677,0.5,2.9,5.935,2.419,0.851,62,62,2103,33.9,0.8,1477,23.8,6.1,1.0,2.419,0.391,3.0,前锋
杰森-塔图姆,3.0,0.9,6.0,18.576,0.4,2.1,4.742,2.864,0.812,66,66,2265,34.3,1.0,1547,23.4,7.0,1.4,2.864,0.403,2.3,前锋
乔尔-恩比德,3.0,1.3,8.9,15.706,0.5,3.4,8.529,1.118,0.807,51,51,1506,29.5,2.8,1172,23.0,11.6,0.9,1.118,0.331,3.1,前锋
帕斯卡尔-西亚卡姆,3.5,0.9,6.3,18.4,0.5,2.8,5.05,2.1830000000000003,0.792,60,60,2110,35.2,1.1,1371,22.9,7.3,1.0,2.1830000000000003,0.359,2.5,前锋
Zion Williamson,2.1,0.4,3.6,15.0,0.6,1.8,7.417000000000002,0.25,0.64,24,24,668,27.8,2.7,540,22.5,6.3,0.7,0.25,0.429,2.5,前锋
安德鲁-维金斯,3.7,0.9,4.1,18.81,0.4,2.4,4.9289999999999985,2.167,0.72,42,42,1455,34.6,1.1,942,22.4,5.2,0.7,2.167,0.331,2.5,前锋
德玛尔-德罗赞,5.6,0.3,4.9,15.425999999999998,0.5,2.6,6.6320000000000014,0.132,0.845,68,68,2316,34.1,0.6,1504,22.1,5.5,1.0,0.132,0.257,2.4,前锋
约翰-科林斯,1.5,1.6,7.3,14.755999999999998,0.6,3.4,3.659,1.439,0.8,41,41,1363,33.2,2.8,885,21.6,10.1,0.8,1.439,0.401,1.8,前锋
保罗-乔治,3.9,0.4,5.2,16.292,0.4,2.4,4.521,3.2710000000000004,0.8759999999999999,48,48,1419,29.6,0.5,1033,21.5,5.7,1.4,3.2710000000000004,0.412,2.6,前锋
克里斯-米德尔顿,4.3,0.1,5.5,15.274,0.5,2.3,3.661,2.371,0.916,62,59,1853,29.9,0.7,1297,20.9,6.2,0.9,2.371,0.415,2.2,前锋
克里斯塔普斯-波尔津吉斯,1.8,2.0,7.7,16.351,0.4,3.2,4.965,2.491,0.799,57,57,1814,31.8,1.8,1164,20.4,9.5,0.7,2.491,0.35200000000000004,1.6,前锋
杰伦-布朗,2.1,0.4,5.3,15.561,0.5,2.9,4.263,2.263,0.7240000000000001,57,57,1934,33.9,1.1,1159,20.3,6.4,1.1,2.263,0.382,2.2,前锋
博扬-博格达诺维奇,2.1,0.1,3.5,14.841,0.4,1.7,4.397,3.0,0.903,63,63,2083,33.1,0.6,1275,20.2,4.1,0.5,3.0,0.414,2.5,前锋
吉米-巴特勒,6.0,0.6,4.8,13.069,0.5,1.4,9.052,0.5,0.8340000000000001,58,58,1959,33.8,1.8,1157,19.9,6.7,1.8,0.5,0.244,2.2,前锋
TJ-沃伦,1.5,0.5,3.2,14.880999999999998,0.5,2.8,3.045,1.358,0.8190000000000001,67,67,2202,32.9,1.0,1326,19.8,4.2,1.2,1.358,0.403,1.3,前锋
马库斯-莫里斯,1.4,0.4,4.3,14.791,0.4,3.0,4.605,2.698,0.823,43,43,1387,32.3,1.1,841,19.6,5.4,0.8,2.698,0.439,1.7,前锋
托拜亚斯-哈里斯,3.2,0.6,5.9,16.292,0.5,2.3,3.0,1.819,0.8059999999999999,72,72,2469,34.3,1.0,1411,19.6,6.9,0.7,1.819,0.3670000000000001,1.4,前锋
朱利叶斯-兰德尔,3.1,0.3,7.4,15.719,0.5,2.8,5.5,1.0,0.733,64,64,2080,32.5,2.4,1248,19.5,9.7,0.8,1.0,0.277,3.0,前锋
亚历山大,3.3,0.7,5.2,14.5,0.5,1.7,5.1,1.243,0.807,70,70,2428,34.7,0.7,1331,19.0,5.9,1.1,1.243,0.34700000000000003,1.9,前锋
