cnName,teamName
詹姆斯-哈登,火箭
布拉德利-比尔,奇才
达米安-利拉德,开拓者
特雷-杨,老鹰
扬尼斯-阿德托昆博,雄鹿
卢卡-多西奇,独行侠
凯里-欧文,篮网
拉塞尔-韦斯布鲁克,火箭
科怀-莱昂纳德,快船
德文-布克,太阳
卡尔-安东尼-唐斯,森林狼
安东尼-戴维斯,湖人
扎克-拉文,公牛
勒布朗-詹姆斯,湖人
多诺万米切尔,爵士
布兰登-英格拉姆,鹈鹕
杰森-塔图姆,凯尔特人
丹吉洛-拉塞尔,森林狼
乔尔-恩比德,76人
帕斯卡尔-西亚卡姆,猛龙
Zion Williamson,鹈鹕
安德鲁-维金斯,森林狼
C.J.麦科勒姆,开拓者
德玛尔-德罗赞,马刺
约翰-科林斯,老鹰
保罗-乔治,快船
德阿龙-福克斯,国王
克里斯-米德尔顿,雄鹿
科林-塞克斯顿,骑士
斯蒂芬-库里,勇士
斯宾瑟-丁威迪,篮网
克里斯塔普斯-波尔津吉斯,独行侠
肯巴-沃克,凯尔特人
杰伦-布朗,凯尔特人
博扬-博格达诺维奇,爵士
尼古拉-约基奇,掘金
吉米-巴特勒,热火
TJ-沃伦,步行者
马库斯-莫里斯,尼克斯
尼科拉-武切维奇,魔术
托拜亚斯-哈里斯,76人
朱利叶斯-兰德尔,尼克斯
凯尔-洛瑞,猛龙
巴迪-希尔德,国王
朱-霍勒迪,鹈鹕
亚历山大,雷霆
丹尼斯-施罗德,雷霆
拉马库斯-阿尔德里奇,马刺
卡里斯-勒维尔,篮网
凯利-乌布雷,太阳
达尼罗-加里纳利,雷霆
蒙特雷斯-哈雷尔,快船
多曼塔斯-萨博尼斯,步行者
贾马尔-穆雷,掘金
伊万-福尼耶,魔术
德文特-葛拉罕,黄蜂
德安德烈-艾顿,太阳
路易斯-威廉姆斯,快船
德里克-罗斯,活塞
特里-罗齐尔,黄蜂
Ja Morant,灰熊
安德鲁-德拉蒙德,活塞
克里斯-保罗,雷霆
尤素夫-努尔基奇,开拓者
凯文-乐福,骑士
弗雷德-万维利特,猛龙
戈登-海沃德,凯尔特人
贾伦-杰克逊,灰熊
马尔科姆-布罗格登,步行者
本-西蒙斯,76人
狄龙布鲁克斯,灰熊
戈兰-德拉季奇,热火
诺曼-鲍威尔,猛龙
巴姆-阿德巴约,热火
小蒂姆-哈达威,独行侠
卢克-肯纳德,活塞
布雷克-格里芬,活塞
哈桑-怀特塞德,开拓者
卡梅隆-安东尼,开拓者
赛尔吉-伊巴卡,猛龙
戴维斯-贝尔坦斯,奇才
肯德里克-纳恩,热火
JJ-雷迪克,鹈鹕
乔丹-克拉克森,爵士
鲁迪-戈贝尔,爵士
威尔-巴顿,掘金
博格丹-博格达诺维奇,国王
亚历克-伯克斯,76人
埃里克-布莱德索,雄鹿
尤纳斯-瓦兰丘纳斯,灰熊
特伦斯-罗斯,魔术
劳里-马尔卡宁,公牛
乔-哈里斯,篮网
哈里森-巴恩斯,国王
维克托-奥拉迪波,步行者
麦克-康利,爵士
阿隆-戈登,魔术
埃里克-戈登,火箭
RJ Barrett,尼克斯
马文-巴格利三世,国王
Eric Paschall,勇士
贾巴里-帕克,国王
克林特-卡佩拉,火箭
约什-理查德森,76人
Rui Hachimura,奇才
邓肯-鲁滨逊,热火
Tyler Herro,热火
Coby White,公牛
托马斯-布莱恩特,奇才
杰夫-蒂格,森林狼
克里斯蒂安-伍德,活塞
迈尔斯-布里奇斯,黄蜂
里基-卢比奥,太阳
马库斯-斯马特,凯尔特人
凯尔-库兹马,湖人
乔丹-麦克雷,奇才
罗伯特-科温顿,森林狼
达迈·李,勇士
杰里米-兰姆,步行者
塞斯-库里,独行侠
DeAndre Hunter,老鹰
Darius Garland,骑士
里乔恩-霍姆斯,国王
以赛亚-托马斯,奇才
P.J. Washington,黄蜂
凯文-赫尔特,老鹰
Brandon Clarke,灰熊
迈尔斯-特纳,步行者
马克尔-富尔茨,魔术
托里恩-普林斯,篮网
布鲁克-洛佩兹,雄鹿
杰拉米-格兰特,掘金
特里斯坦-汤普森,骑士
乔纳森-艾萨克,魔术
雷吉-杰克逊,快船
艾尔-霍福德,76人
奥托-波特,公牛
洛伦佐-波尔,鹈鹕
格伦-罗宾逊,76人
保罗-米尔萨普,掘金
帕蒂-米尔斯,马刺
阿隆-贝恩斯,太阳
内马尼亚-别利察,国王
德里克-怀特,马刺
贾斯蒂斯-温斯洛,灰熊
温德尔-卡特,公牛
马利克-比斯利,森林狼
布林-福布斯,马刺
科迪-泽勒,黄蜂
贾勒特艾伦,篮网
切迪-奥斯曼,骑士
麦克-穆尔德,勇士
罗德尼-胡德,开拓者
伊斯-史密斯,奇才
卡梅伦-佩恩,太阳
斯蒂文-亚当斯,雷霆
德章泰-穆雷,马刺
鲁迪-盖伊,马刺
达里奥-萨里奇,太阳
OG-阿奴诺比,猛龙
D.J.奥古斯丁,魔术
Cameron Reddish,老鹰
丹纽尔-豪斯,火箭
加里-哈里斯,掘金
特洛伊-布朗,奇才
马利克-莫克,黄蜂
赛迪斯-杨,公牛
加雷特-坦普尔,篮网
沙巴兹-内皮尔,奇才
兰斯顿-加洛维,活塞
道格-迈克德莫特,步行者
小拉里-南斯,骑士
约什-哈特,鹈鹕
本-麦克勒莫,火箭
鲍比-波蒂斯,尼克斯
埃尔弗里德-佩顿,尼克斯
Kevin Porter Jr.,骑士
托马斯-萨托兰斯基,公牛
贾伊-克劳德,灰熊
乔-因戈尔斯,爵士
福尔康-科尔克马兹,76人
米切尔-鲁滨逊,尼克斯
马基夫-莫里斯,湖人
弗兰克-卡明斯基,太阳
多利安-芬尼-史密斯,独行侠
艾伦-霍利迪,步行者
德怀特-鲍威尔,独行侠
乔治-希尔,雄鹿
谢克-米尔顿,76人
迪昂-维特斯,灰熊
